,Date,User,Tweet
31,2023-02-11 12:07:19+00:00,BUMNBdgSigap,"mempertemukan UMKM dengan BUMN guna mengoptimalkan, mempercepat dan mendorong efisiensi transaksi belanja BUMN pada UMKM, serta memperluas dan mempermudah UMKM mendapatkan akses pembiayaan.

Perhutani terus mendukung perkembangan UMKM dan terus melakukan sinergitas bersama"
32,2023-02-11 12:07:17+00:00,BUMNBdgSigap,"Perum Perhutani meraih penghargaan sebagai Juara 2 transaksi terbaik dalam Kick Off Belanja &amp; Business Matching (BM) dengan Gross Merchandise Value / Value Tertinggi dalam kategori BUMN Pasar Digital (PaDi) UMKM 2023.

PaDi UMKM merupakan sebuah platform digital yang https://t.co/5vW6vuEMxN"
33,2023-02-11 11:48:41+00:00,kabarbanyuwangi,"NASKAH ID - Polisi bersama PolHutMob merazia gelondongan kayu jati ilegal. Diduga kayu tersebut diambil dari dalam hutan dikawasan Petak 85f, BKPH Curahjati, Perhutani KPH Banyuwangi Selatan. Berdasarkan informasi, gelondongan kayu tersebut diusung

https://t.co/fDwtie42qz"
34,2023-02-11 09:06:48+00:00,jayapura_bumn,"Perum Perhutani meraih penghargaan sebagai Juara 2 transaksi terbaik dalam Kick Off Belanja &amp; Business Matching (BM) dengan Gross Merchandise Value / Value Tertinggi dalam kategori BUMN Pasar Digital (PaDi) UMKM 2023.

#PerhutaniDukungUMKM https://t.co/Ulq5ramFWj"
35,2023-02-11 05:27:38+00:00,justinfogarut,"Hari K3 Nasional Perhutani Garut lakukan sosialisasi dengan penyadap terkait APD.
https://t.co/tQRev50vfN"
36,2023-02-11 05:24:02+00:00,sultohn,@worksfess Kan ada Perhutani
37,2023-02-11 05:19:39+00:00,LekKacung,Bila tamat kuliah ingin menjadi PNS/ASN Perhutani tapi tidak diterima. Diterimanya menjadi presiden RI @jokowi 🇮🇩 https://t.co/GFCdlRi5s2
38,2023-02-11 02:54:18+00:00,TimesBWI,"Wakil Administratur (Waka ADM) Perhutani KPH Banyuwangi Selatan, Muhklisin Sabarna, mengatakan, kayu jati gelondongan yang ditemukan di pekarangan lahan kosong itu, diduga hasil pembalakan liar di wilayah Perhutani Banyuwangi Selatan."
39,2023-02-11 01:59:48+00:00,kabarbanyuwangi,"Kapolsek Sanggar Bersama Anggota dan Polhutmob Saat Mengamankan Kayu Jati Diduga Hasil Curian di Wilayaha Perhutani KPH Banyuwangi Selatan, Jumat 10 Febuari 2023. (Foto : Jaenudin/Banyuwangihits.id)https://t.co/vHML5MKY9t – Kepolisian Sektor (Polsek)

https://t.co/wi5OWttSXn https://t.co/FCFsyqAyGK"
40,2023-02-10 22:26:30+00:00,hasanahdotid,"Pererat Silaturahmi, Perhutani KPH Bandung Utara Rayakan Hari Pers Nasional 2023 Bersama Jurnalis via @hasanahdotid https://t.co/SKtXXloNip"
41,2023-02-10 17:03:27+00:00,Dearbellatrixx,"minusnya yg pertama
- ada shuttle tp kita hrs byr plus byr masuk ke area perhutani (?) 
- kamarnya agak kureng dgn harga 1,2jt tipe family, kurengnya itu agak kotor dan harus hemaat mandi pake air anget wkwkw asli bener2 kita berempat irit seiritnha mandi lol!!!"
42,2023-02-10 16:59:07+00:00,BUMN_Semarang,"Perum Perhutani meraih penghargaan sebagai Juara 2 transaksi terbaik dalam Kick Off Belanja &amp; Business Matching (BM) dengan Gross Merchandise Value / Value Tertinggi dalam kategori BUMN Pasar Digital (PaDi) UMKM 2023.

#PerhutaniDukungUMKM https://t.co/S59ARa6Xl6"
43,2023-02-10 15:53:39+00:00,bumn_luwuk,"Perum Perhutani meraih penghargaan sebagai Juara 2 transaksi terbaik dalam Kick Off Belanja &amp; Business Matching (BM) dengan Gross Merchandise Value / Value Tertinggi dalam kategori BUMN Pasar Digital (PaDi) UMKM 2023.

#PerhutaniDukungUMKM https://t.co/KtrmzgOWdP"
44,2023-02-10 14:56:34+00:00,penakunews,BPBD Kab Bandung dan Perhutani Bermitra Kebencanaa https://t.co/ps0kEgyvhL https://t.co/hPruuaBoxf
45,2023-02-10 14:55:15+00:00,tokoperhutani,"Selain Kayu, Toko Perhutani juga menyediakan Produk Non Kayu, Sobat. 

Ada apa saja sih Produknya?

Yuk simak, narasi Pak GM berikut😊

Informasi lebih lanjut, kunjungi website kami: https://t.co/VvuJoTUS0d

#tokoperhutani #likeforlikes #likesforlike #likeforfollow #like https://t.co/ih1Gtsye0W"
46,2023-02-10 13:37:37+00:00,MampirJember_,"Kalian masih pada nanyain kenapa Papuma tiketnya mahal?

Yak benar sekali, karena pantai berpasir putih Papuma ini merupakan pantai yang pengelolaanya berada di bawah naungan Perhutani. 
https://t.co/67hB43tbdN https://t.co/NF8XUpreb8"
47,2023-02-10 12:43:16+00:00,Bumn_Gtlo_Rapi,"Perum Perhutani meraih penghargaan sebagai Juara 2 transaksi terbaik dalam Kick Off Belanja &amp; Business Matching (BM) dengan Gross Merchandise Value / Value Tertinggi dalam kategori BUMN Pasar Digital (PaDi) UMKM 2023.

#PerhutaniDukungUMKM https://t.co/WFe8ivwQSp"
48,2023-02-10 12:15:34+00:00,prokopimkwb,"BPBD Pemerintah Kota Batu bekerjasama dengan Perum Perhutani melakukan kegiatan Reboisasi dalam upaya mitigasi bencana seperti erosi tanah, banjir dan angin kencang, kegiatan ini juga diharapkan dapat melestarikan kesuburan tanah, menjaga keanekaragaman satwa,membuat udara bersih https://t.co/ZtAvdorADm"
49,2023-02-10 10:56:56+00:00,BUMN_LAMPUNG,"Perum Perhutani meraih penghargaan sebagai Juara 2 transaksi terbaik dalam Kick Off Belanja &amp; Business Matching (BM) dengan Gross Merchandise Value / Value Tertinggi dalam kategori BUMN Pasar Digital (PaDi) UMKM 2023.

#PerhutaniDukungUMKM https://t.co/7UQo0PMFIt"
50,2023-02-10 10:56:46+00:00,Bumn_Sbwhebat,"Perum Perhutani meraih penghargaan sebagai Juara 2 transaksi terbaik dalam Kick Off Belanja &amp; Business Matching (BM) dengan Gross Merchandise Value / Value Tertinggi dalam kategori BUMN Pasar Digital (PaDi) UMKM 2023.

#PerhutaniDukungUMKM https://t.co/MBqGQl1ZiU"
51,2023-02-10 08:55:13+00:00,Biro_Blora,"Perum Perhutani Randublatung Jalin Sinergitas Dengan Awak Media di Rest Area Jape
https://t.co/S6QdLa35sY https://t.co/N6B9mbMLev"
52,2023-02-10 08:13:44+00:00,BumnMedsos,"digital yang mempertemukan UMKM dengan BUMN guna mengoptimalkan, mempercepat dan mendorong efisiensi transaksi belanja BUMN pada UMKM, serta memperluas dan mempermudah UMKM mendapatkan akses pembiayaan.

Perhutani terus mendukung perkembangan UMKM dan terus melakukan sinergitas"
53,2023-02-10 08:13:42+00:00,BumnMedsos,"#PerhutaniDukungUMKM
Perum Perhutani meraih penghargaan sebagai Juara 2 transaksi terbaik dalam Kick Off Belanja &amp; Business Matching (BM) dengan Gross Merchandise Value / Value Tertinggi dalam kategori BUMN Pasar Digital (PaDi) UMKM 2023.

PaDi UMKM merupakan sebuah platform https://t.co/x4yjQiImJr"
54,2023-02-10 08:05:16+00:00,Bambang_Sadono,"Direktur Perum Perhutani, M Denny Ermansyah mengatakan saat ini tidak hanya menjual kayu dan getah, tetapi juga mengembangkan tanaman biomass, destinasi wisata, dan melakukan trading karbon. Wawancara dengan Bambang Sadono di kanal Inspirasi untuk Bangsa.

https://t.co/O9cX7H1YUu https://t.co/cTLmRMsHOe"
55,2023-02-10 07:43:12+00:00,BUMN_BKLHebat,"Perhutani terus mendukung perkembangan UMKM dan terus melakukan sinergitas bersama Platform PaDI UMKM dengan melakukan belanja secara digital, transparan dan efisien."
56,2023-02-10 04:59:10+00:00,BUMNJogjaSigap,"Perhutani terus mendukung perkembangan UMKM dan terus melakukan sinergitas bersama Platform PaDI UMKM dengan melakukan belanja secara digital, transparan dan efisien.

#PerhutaniDukungUMKM"
57,2023-02-10 02:48:09+00:00,BUMNMedanSigap,"Perhutani terus mendukung perkembangan UMKM dan terus melakukan sinergitas bersama Platform PaDI UMKM dengan melakukan belanja secara digital, transparan dan efisien.

#PerhutaniDukungUMKM https://t.co/DXvyq6Rlxi"
58,2023-02-10 02:19:31+00:00,LrtInkaTegas,"Perhutani terus mendukung perkembangan UMKM dan terus melakukan sinergitas bersama Platform PaDI UMKM dengan melakukan belanja secara digital, transparan dan efisien.

#PerhutaniDukungUMKM https://t.co/E8lqKCmIHi"
59,2023-02-10 01:57:29+00:00,Bumnbjm_Kuat,"Perum Perhutani meraih penghargaan sebagai Juara 2 transaksi terbaik dalam Kick Off Belanja &amp; Business Matching (BM) dengan Gross Merchandise Value / Value Tertinggi dalam kategori BUMN Pasar Digital (PaDi) UMKM 2023.

#PerhutaniDukungUMKM https://t.co/Ixgw1wbqO2"
60,2023-02-10 01:43:55+00:00,tokoperhutani,@donymaya Terima kasih kembali Pak
61,2023-02-10 01:36:22+00:00,tokoperhutani,"@donymaya Sudah kami teruskan Pak, mohon ditunggu kembali  🙏"
62,2023-02-10 01:25:24+00:00,tokoperhutani,"@donymaya Pagi, maaf kendalanya. Silakan mengajukan kontrak"
63,2023-02-10 00:45:59+00:00,KphMalang,Baru saja mengirim foto https://t.co/x1yqcKe58W
64,2023-02-10 00:19:05+00:00,bumnkotapalu,"Perum Perhutani meraih penghargaan sebagai Juara 2 transaksi terbaik dalam Kick Off Belanja &amp; Business Matching (BM) dengan Gross Merchandise Value / Value Tertinggi dalam kategori BUMN Pasar Digital (PaDi) UMKM 2023.

#PerhutaniDukungUMKM https://t.co/UjSPaoktPX"
65,2023-02-09 22:46:58+00:00,BJKT4Terpercaya,"Perum Perhutani meraih penghargaan sebagai Juara 2 transaksi terbaik dalam Kick Off Belanja &amp; Business Matching (BM) dengan Gross Merchandise Value / Value Tertinggi dalam kategori BUMN Pasar Digital (PaDi) UMKM 2023.

#PerhutaniDukungUMKM https://t.co/5OrDZwGAZ8"
66,2023-02-09 15:58:29+00:00,HeraldJabar,"Ikut Rayakan Hari Pers Nasional, Perhutani KPH Bandung Utara Sebut Ini Bentuk Sinergi Nyata Dengan Awak Media https://t.co/ieoZ3EYx9r"
67,2023-02-09 15:56:07+00:00,setiyawanreborn,"@apri_adi08 @hudacahjurang Alpokat 1
Duren 1
Rambutan 1
Sukun 1

Wes cukup, mergo lemahee ora seombo punyae perhutani."
68,2023-02-09 15:05:54+00:00,BJKT1Terpercaya,"Perhutani terus mendukung perkembangan UMKM dan terus melakukan sinergitas bersama Platform PaDI UMKM dengan melakukan belanja secara digital, transparan dan efisien.

#PerhutaniDukungUMKM"
69,2023-02-09 14:17:19+00:00,inkamadiuntegas,"mempertemukan UMKM dengan BUMN guna mengoptimalkan, mempercepat dan mendorong efisiensi transaksi belanja BUMN pada UMKM, serta memperluas dan mempermudah UMKM mendapatkan akses pembiayaan.

Perhutani terus mendukung perkembangan UMKM dan terus melakukan sinergitas bersama"
70,2023-02-09 13:46:33+00:00,ngopibareng_id,Polisi Situbondo mengamankan truk angkut 11 kayu sonokeling gelondongan tanpa dokumen dari hutan Perhutani di Kecamatan Mlandingan. https://t.co/54mgmHUtmo
71,2023-02-09 13:22:11+00:00,cacingkjpt,Iri banget liat kating magang di perhutani. Mau jugaaa 😭😭
72,2023-02-09 12:16:33+00:00,IinD4m41,"@BimoGde Kalau perhutani memang ada programnya, kerjasama dengan masyarakat desa hutan dan hasilnya diakomodir koperasi.
.
Jauuhh..bagi2 ceritanya saja biar bisa ikutan tau situasi di situ mas."
73,2023-02-09 11:33:37+00:00,IinD4m41,"@BimoGde Kalau di Jawa, itu wilayah hutan lindungnya Perhutani...hutan pinus."
74,2023-02-09 10:25:10+00:00,karina18820405,@Askrlfess udah kak di perhutani
75,2023-02-09 10:18:17+00:00,BumnSby,"Perhutani terus mendukung perkembangan UMKM dan terus melakukan sinergitas bersama Platform PaDI UMKM dengan melakukan belanja secara digital, transparan dan efisien.

#PerhutaniDukungUMKM https://t.co/BDLVMRltVo"
