Cc 2;Country;Engtype 2;Gid 0;Gid 1;Gid 2;Hasc 2;Name 1;Name 2;Nl Name 1;Nl Name 2;Type 2;Varname 2;Geometry
3208;Indonesia;Regency;IDN;IDN.9_1;IDN.9.20_1;ID.JR.KU;Jawa Barat;Kuningan;NA;NA;Kabupaten;NA;Polygon
3210;Indonesia;Regency;IDN;IDN.9_1;IDN.9.21_1;ID.JR.MA;Jawa Barat;Majalengka;NA;NA;Kabupaten;NA;Polygon
3214;Indonesia;Regency;IDN;IDN.9_1;IDN.9.22_1;ID.JR.PU;Jawa Barat;Purwakarta;NA;NA;Kabupaten;NA;Polygon
3213;Indonesia;Regency;IDN;IDN.9_1;IDN.9.23_1;ID.JR.SB;Jawa Barat;Subang;NA;NA;Kabupaten;NA;MultiPolygon
3202;Indonesia;Regency;IDN;IDN.9_1;IDN.9.24_1;ID.JR.SR;Jawa Barat;Sukabumi;NA;NA;Kabupaten;NA;Polygon
3211;Indonesia;Regency;IDN;IDN.9_1;IDN.9.25_1;ID.JR.SD;Jawa Barat;Sumedang;NA;NA;Kabupaten;NA;Polygon
3206;Indonesia;Regency;IDN;IDN.9_1;IDN.9.26_1;ID.JR.TA;Jawa Barat;Tasikmalaya;NA;NA;Kabupaten;NA;MultiPolygon
3288;Indonesia;Water Body;IDN;IDN.9_1;IDN.9.27_1;NA;Jawa Barat;Waduk Cirata;NA;NA;Water Body;NA;Polygon
3304;Indonesia;Regency;IDN;IDN.10_1;IDN.10.1_1;ID.JT.BN;Jawa Tengah;Banjarnegara;NA;NA;Kabupaten;NA;Polygon
3302;Indonesia;Regency;IDN;IDN.10_1;IDN.10.2_1;ID.JT.BY;Jawa Tengah;Banyumas;NA;NA;Kabupaten;NA;MultiPolygon
3325;Indonesia;Regency;IDN;IDN.10_1;IDN.10.3_1;ID.JT.BT;Jawa Tengah;Batang;NA;NA;Kabupaten;NA;Polygon
3316;Indonesia;Regency;IDN;IDN.10_1;IDN.10.4_1;ID.JT.BL;Jawa Tengah;Blora;NA;NA;Kabupaten;NA;Polygon
3309;Indonesia;Regency;IDN;IDN.10_1;IDN.10.5_1;ID.JT.BO;Jawa Tengah;Boyolali;NA;NA;Kabupaten;NA;Polygon
3329;Indonesia;Regency;IDN;IDN.10_1;IDN.10.6_1;ID.JT.BR;Jawa Tengah;Brebes;NA;NA;Kabupaten;NA;Polygon
3301;Indonesia;Regency;IDN;IDN.10_1;IDN.10.7_1;ID.JT.CI;Jawa Tengah;Cilacap;NA;NA;Kabupaten;NA;MultiPolygon
3321;Indonesia;Regency;IDN;IDN.10_1;IDN.10.8_1;ID.JT.DE;Jawa Tengah;Demak;NA;NA;Kabupaten;NA;Polygon
3315;Indonesia;Regency;IDN;IDN.10_1;IDN.10.9_1;ID.JT.GR;Jawa Tengah;Grobogan;NA;NA;Kabupaten;NA;MultiPolygon
3320;Indonesia;Regency;IDN;IDN.10_1;IDN.10.10_1;ID.JT.JE;Jawa Tengah;Jepara;NA;NA;Kabupaten;NA;MultiPolygon
3313;Indonesia;Regency;IDN;IDN.10_1;IDN.10.11_1;ID.JT.KA;Jawa Tengah;Karanganyar;NA;NA;Kabupaten;NA;MultiPolygon
3305;Indonesia;Regency;IDN;IDN.10_1;IDN.10.12_1;ID.JT.KB;Jawa Tengah;Kebumen;NA;NA;Kabupaten;NA;Polygon
3324;Indonesia;Regency;IDN;IDN.10_1;IDN.10.13_1;ID.JT.KN;Jawa Tengah;Kendal;NA;NA;Kabupaten;NA;MultiPolygon
3310;Indonesia;Regency;IDN;IDN.10_1;IDN.10.14_1;ID.JT.KL;Jawa Tengah;Klaten;NA;NA;Kabupaten;NA;Polygon
3371;Indonesia;City;IDN;IDN.10_1;IDN.10.15_1;ID.JT.MM;Jawa Tengah;Kota Magelang;NA;NA;Kota;NA;Polygon
3375;Indonesia;City;IDN;IDN.10_1;IDN.10.16_1;ID.JT.PM;Jawa Tengah;Kota Pekalongan;NA;NA;Kota;NA;Polygon
3374;Indonesia;City;IDN;IDN.10_1;IDN.10.17_1;ID.JT.SM;Jawa Tengah;Kota Semarang;NA;NA;Kota;NA;MultiPolygon
3376;Indonesia;City;IDN;IDN.10_1;IDN.10.18_1;ID.JT.TM;Jawa Tengah;Kota Tegal;NA;NA;Kota;NA;Polygon
