id,kode_kabupaten_kota,kode_provinsi,kondisi_hutan,luas_hutan,nama_kabupaten_kota,nama_provinsi,satuan,tahun
122,3277,32,SEDANG,0,KOTA CIMAHI,JAWA BARAT,HEKTAR,2014
123,3277,32,RUSAK,0,KOTA CIMAHI,JAWA BARAT,HEKTAR,2014
124,3277,32,REHABILITASI,0,KOTA CIMAHI,JAWA BARAT,HEKTAR,2014
125,3277,32,BERUBAH FUNGSI,0,KOTA CIMAHI,JAWA BARAT,HEKTAR,2014
126,3278,32,BAIK,0,KOTA TASIKMALAYA,JAWA BARAT,HEKTAR,2014
127,3278,32,SEDANG,0,KOTA TASIKMALAYA,JAWA BARAT,HEKTAR,2014
128,3278,32,RUSAK,0,KOTA TASIKMALAYA,JAWA BARAT,HEKTAR,2014
129,3278,32,REHABILITASI,0,KOTA TASIKMALAYA,JAWA BARAT,HEKTAR,2014
130,3278,32,BERUBAH FUNGSI,0,KOTA TASIKMALAYA,JAWA BARAT,HEKTAR,2014
131,3279,32,BAIK,0,KOTA BANJAR,JAWA BARAT,HEKTAR,2014
132,3279,32,SEDANG,0,KOTA BANJAR,JAWA BARAT,HEKTAR,2014
133,3279,32,RUSAK,0,KOTA BANJAR,JAWA BARAT,HEKTAR,2014
134,3279,32,REHABILITASI,0,KOTA BANJAR,JAWA BARAT,HEKTAR,2014
135,3279,32,BERUBAH FUNGSI,0,KOTA BANJAR,JAWA BARAT,HEKTAR,2014
136,3201,32,BAIK,0,KABUPATEN BOGOR,JAWA BARAT,HEKTAR,2015
137,3201,32,SEDANG,0,KABUPATEN BOGOR,JAWA BARAT,HEKTAR,2015
138,3201,32,RUSAK,0,KABUPATEN BOGOR,JAWA BARAT,HEKTAR,2015
139,3201,32,REHABILITASI,0,KABUPATEN BOGOR,JAWA BARAT,HEKTAR,2015
140,3201,32,BERUBAH FUNGSI,0,KABUPATEN BOGOR,JAWA BARAT,HEKTAR,2015
141,3202,32,BAIK,0,KABUPATEN SUKABUMI,JAWA BARAT,HEKTAR,2015
142,3202,32,SEDANG,0,KABUPATEN SUKABUMI,JAWA BARAT,HEKTAR,2015
143,3202,32,RUSAK,0,KABUPATEN SUKABUMI,JAWA BARAT,HEKTAR,2015
144,3202,32,REHABILITASI,0,KABUPATEN SUKABUMI,JAWA BARAT,HEKTAR,2015
145,3202,32,BERUBAH FUNGSI,0,KABUPATEN SUKABUMI,JAWA BARAT,HEKTAR,2015
146,3203,32,BAIK,0,KABUPATEN CIANJUR,JAWA BARAT,HEKTAR,2015
147,3203,32,SEDANG,0,KABUPATEN CIANJUR,JAWA BARAT,HEKTAR,2015
148,3203,32,RUSAK,0,KABUPATEN CIANJUR,JAWA BARAT,HEKTAR,2015
149,3203,32,REHABILITASI,0,KABUPATEN CIANJUR,JAWA BARAT,HEKTAR,2015
150,3203,32,BERUBAH FUNGSI,0,KABUPATEN CIANJUR,JAWA BARAT,HEKTAR,2015
151,3204,32,BAIK,0,KABUPATEN BANDUNG,JAWA BARAT,HEKTAR,2015
152,3204,32,SEDANG,0,KABUPATEN BANDUNG,JAWA BARAT,HEKTAR,2015
153,3204,32,RUSAK,0,KABUPATEN BANDUNG,JAWA BARAT,HEKTAR,2015
154,3204,32,REHABILITASI,0,KABUPATEN BANDUNG,JAWA BARAT,HEKTAR,2015
155,3204,32,BERUBAH FUNGSI,0,KABUPATEN BANDUNG,JAWA BARAT,HEKTAR,2015
156,3205,32,BAIK,0,KABUPATEN GARUT,JAWA BARAT,HEKTAR,2015
157,3205,32,SEDANG,0,KABUPATEN GARUT,JAWA BARAT,HEKTAR,2015
158,3205,32,RUSAK,0,KABUPATEN GARUT,JAWA BARAT,HEKTAR,2015
159,3205,32,REHABILITASI,0,KABUPATEN GARUT,JAWA BARAT,HEKTAR,2015
160,3205,32,BERUBAH FUNGSI,0,KABUPATEN GARUT,JAWA BARAT,HEKTAR,2015
161,3206,32,BAIK,0,KABUPATEN TASIKMALAYA,JAWA BARAT,HEKTAR,2015
162,3206,32,SEDANG,0,KABUPATEN TASIKMALAYA,JAWA BARAT,HEKTAR,2015
163,3206,32,RUSAK,0,KABUPATEN TASIKMALAYA,JAWA BARAT,HEKTAR,2015
164,3206,32,REHABILITASI,0,KABUPATEN TASIKMALAYA,JAWA BARAT,HEKTAR,2015
165,3206,32,BERUBAH FUNGSI,0,KABUPATEN TASIKMALAYA,JAWA BARAT,HEKTAR,2015
166,3207,32,BAIK,0,KABUPATEN CIAMIS,JAWA BARAT,HEKTAR,2015
167,3207,32,SEDANG,0,KABUPATEN CIAMIS,JAWA BARAT,HEKTAR,2015
168,3207,32,RUSAK,0,KABUPATEN CIAMIS,JAWA BARAT,HEKTAR,2015
169,3207,32,REHABILITASI,0,KABUPATEN CIAMIS,JAWA BARAT,HEKTAR,2015
170,3207,32,BERUBAH FUNGSI,0,KABUPATEN CIAMIS,JAWA BARAT,HEKTAR,2015
171,3208,32,BAIK,0,KABUPATEN KUNINGAN,JAWA BARAT,HEKTAR,2015
172,3208,32,SEDANG,0,KABUPATEN KUNINGAN,JAWA BARAT,HEKTAR,2015
173,3208,32,RUSAK,0,KABUPATEN KUNINGAN,JAWA BARAT,HEKTAR,2015
174,3208,32,REHABILITASI,0,KABUPATEN KUNINGAN,JAWA BARAT,HEKTAR,2015
175,3208,32,BERUBAH FUNGSI,0,KABUPATEN KUNINGAN,JAWA BARAT,HEKTAR,2015
176,3209,32,BAIK,0,KABUPATEN CIREBON,JAWA BARAT,HEKTAR,2015
177,3209,32,SEDANG,0,KABUPATEN CIREBON,JAWA BARAT,HEKTAR,2015
178,3209,32,RUSAK,0,KABUPATEN CIREBON,JAWA BARAT,HEKTAR,2015
179,3209,32,REHABILITASI,0,KABUPATEN CIREBON,JAWA BARAT,HEKTAR,2015
180,3209,32,BERUBAH FUNGSI,0,KABUPATEN CIREBON,JAWA BARAT,HEKTAR,2015
181,3210,32,BAIK,0,KABUPATEN MAJALENGKA,JAWA BARAT,HEKTAR,2015
182,3210,32,SEDANG,0,KABUPATEN MAJALENGKA,JAWA BARAT,HEKTAR,2015
183,3210,32,RUSAK,0,KABUPATEN MAJALENGKA,JAWA BARAT,HEKTAR,2015
184,3210,32,REHABILITASI,0,KABUPATEN MAJALENGKA,JAWA BARAT,HEKTAR,2015
185,3210,32,BERUBAH FUNGSI,0,KABUPATEN MAJALENGKA,JAWA BARAT,HEKTAR,2015
186,3211,32,BAIK,0,KABUPATEN SUMEDANG,JAWA BARAT,HEKTAR,2015
187,3211,32,SEDANG,0,KABUPATEN SUMEDANG,JAWA BARAT,HEKTAR,2015
188,3211,32,RUSAK,0,KABUPATEN SUMEDANG,JAWA BARAT,HEKTAR,2015
189,3211,32,REHABILITASI,0,KABUPATEN SUMEDANG,JAWA BARAT,HEKTAR,2015
190,3211,32,BERUBAH FUNGSI,0,KABUPATEN SUMEDANG,JAWA BARAT,HEKTAR,2015
191,3212,32,BAIK,159764,KABUPATEN INDRAMAYU,JAWA BARAT,HEKTAR,2015
192,3212,32,SEDANG,178377,KABUPATEN INDRAMAYU,JAWA BARAT,HEKTAR,2015
193,3212,32,RUSAK,932478,KABUPATEN INDRAMAYU,JAWA BARAT,HEKTAR,2015
194,3212,32,REHABILITASI,1330,KABUPATEN INDRAMAYU,JAWA BARAT,HEKTAR,2015
195,3212,32,BERUBAH FUNGSI,0,KABUPATEN INDRAMAYU,JAWA BARAT,HEKTAR,2015
196,3213,32,BAIK,0,KABUPATEN SUBANG,JAWA BARAT,HEKTAR,2015
197,3213,32,SEDANG,0,KABUPATEN SUBANG,JAWA BARAT,HEKTAR,2015
198,3213,32,RUSAK,0,KABUPATEN SUBANG,JAWA BARAT,HEKTAR,2015
199,3213,32,REHABILITASI,0,KABUPATEN SUBANG,JAWA BARAT,HEKTAR,2015
200,3213,32,BERUBAH FUNGSI,0,KABUPATEN SUBANG,JAWA BARAT,HEKTAR,2015
201,3214,32,BAIK,0,KABUPATEN PURWAKARTA,JAWA BARAT,HEKTAR,2015
202,3214,32,SEDANG,0,KABUPATEN PURWAKARTA,JAWA BARAT,HEKTAR,2015
203,3214,32,RUSAK,0,KABUPATEN PURWAKARTA,JAWA BARAT,HEKTAR,2015
204,3214,32,REHABILITASI,0,KABUPATEN PURWAKARTA,JAWA BARAT,HEKTAR,2015
205,3214,32,BERUBAH FUNGSI,0,KABUPATEN PURWAKARTA,JAWA BARAT,HEKTAR,2015
206,3215,32,BAIK,50,KABUPATEN KARAWANG,JAWA BARAT,HEKTAR,2015
207,3215,32,SEDANG,100,KABUPATEN KARAWANG,JAWA BARAT,HEKTAR,2015
208,3215,32,RUSAK,50,KABUPATEN KARAWANG,JAWA BARAT,HEKTAR,2015
209,3215,32,REHABILITASI,0,KABUPATEN KARAWANG,JAWA BARAT,HEKTAR,2015
210,3215,32,BERUBAH FUNGSI,0,KABUPATEN KARAWANG,JAWA BARAT,HEKTAR,2015
211,3216,32,BAIK,0,KABUPATEN BEKASI,JAWA BARAT,HEKTAR,2015
212,3216,32,SEDANG,0,KABUPATEN BEKASI,JAWA BARAT,HEKTAR,2015
213,3216,32,RUSAK,0,KABUPATEN BEKASI,JAWA BARAT,HEKTAR,2015
214,3216,32,REHABILITASI,0,KABUPATEN BEKASI,JAWA BARAT,HEKTAR,2015
215,3216,32,BERUBAH FUNGSI,0,KABUPATEN BEKASI,JAWA BARAT,HEKTAR,2015
216,3217,32,BAIK,0,KABUPATEN BANDUNG BARAT,JAWA BARAT,HEKTAR,2015
217,3217,32,SEDANG,0,KABUPATEN BANDUNG BARAT,JAWA BARAT,HEKTAR,2015
218,3217,32,RUSAK,0,KABUPATEN BANDUNG BARAT,JAWA BARAT,HEKTAR,2015
219,3217,32,REHABILITASI,0,KABUPATEN BANDUNG BARAT,JAWA BARAT,HEKTAR,2015
220,3217,32,BERUBAH FUNGSI,0,KABUPATEN BANDUNG BARAT,JAWA BARAT,HEKTAR,2015
221,3218,32,BAIK,0,KABUPATEN PANGANDARAN,JAWA BARAT,HEKTAR,2015
222,3218,32,SEDANG,0,KABUPATEN PANGANDARAN,JAWA BARAT,HEKTAR,2015
223,3218,32,RUSAK,0,KABUPATEN PANGANDARAN,JAWA BARAT,HEKTAR,2015
224,3218,32,REHABILITASI,100,KABUPATEN PANGANDARAN,JAWA BARAT,HEKTAR,2015
225,3218,32,BERUBAH FUNGSI,0,KABUPATEN PANGANDARAN,JAWA BARAT,HEKTAR,2015
226,3271,32,BAIK,0,KOTA BOGOR,JAWA BARAT,HEKTAR,2015
227,3271,32,SEDANG,0,KOTA BOGOR,JAWA BARAT,HEKTAR,2015
228,3271,32,RUSAK,0,KOTA BOGOR,JAWA BARAT,HEKTAR,2015
229,3271,32,REHABILITASI,0,KOTA BOGOR,JAWA BARAT,HEKTAR,2015
230,3271,32,BERUBAH FUNGSI,0,KOTA BOGOR,JAWA BARAT,HEKTAR,2015
231,3272,32,BAIK,0,KOTA SUKABUMI,JAWA BARAT,HEKTAR,2015
232,3272,32,SEDANG,0,KOTA SUKABUMI,JAWA BARAT,HEKTAR,2015
233,3272,32,RUSAK,0,KOTA SUKABUMI,JAWA BARAT,HEKTAR,2015
234,3272,32,REHABILITASI,0,KOTA SUKABUMI,JAWA BARAT,HEKTAR,2015
235,3272,32,BERUBAH FUNGSI,0,KOTA SUKABUMI,JAWA BARAT,HEKTAR,2015
236,3273,32,BAIK,0,KOTA BANDUNG,JAWA BARAT,HEKTAR,2015
237,3273,32,SEDANG,0,KOTA BANDUNG,JAWA BARAT,HEKTAR,2015
238,3273,32,RUSAK,0,KOTA BANDUNG,JAWA BARAT,HEKTAR,2015
239,3273,32,REHABILITASI,0,KOTA BANDUNG,JAWA BARAT,HEKTAR,2015
240,3273,32,BERUBAH FUNGSI,0,KOTA BANDUNG,JAWA BARAT,HEKTAR,2015
241,3274,32,BAIK,30,KOTA CIREBON,JAWA BARAT,HEKTAR,2015
242,3274,32,SEDANG,20,KOTA CIREBON,JAWA BARAT,HEKTAR,2015
243,3274,32,RUSAK,0,KOTA CIREBON,JAWA BARAT,HEKTAR,2015
244,3274,32,REHABILITASI,0,KOTA CIREBON,JAWA BARAT,HEKTAR,2015
245,3274,32,BERUBAH FUNGSI,0,KOTA CIREBON,JAWA BARAT,HEKTAR,2015
246,3275,32,BAIK,0,KOTA BEKASI,JAWA BARAT,HEKTAR,2015
247,3275,32,SEDANG,0,KOTA BEKASI,JAWA BARAT,HEKTAR,2015
248,3275,32,RUSAK,0,KOTA BEKASI,JAWA BARAT,HEKTAR,2015
249,3275,32,REHABILITASI,0,KOTA BEKASI,JAWA BARAT,HEKTAR,2015
250,3275,32,BERUBAH FUNGSI,0,KOTA BEKASI,JAWA BARAT,HEKTAR,2015
251,3276,32,BAIK,0,KOTA DEPOK,JAWA BARAT,HEKTAR,2015
252,3276,32,SEDANG,0,KOTA DEPOK,JAWA BARAT,HEKTAR,2015
253,3276,32,RUSAK,0,KOTA DEPOK,JAWA BARAT,HEKTAR,2015
254,3276,32,REHABILITASI,0,KOTA DEPOK,JAWA BARAT,HEKTAR,2015
255,3276,32,BERUBAH FUNGSI,0,KOTA DEPOK,JAWA BARAT,HEKTAR,2015
