,Judul,View,Download,Tanggal Upload,Tanggal Putus,Status,Jenis
2542,Upload :,3,1,2023-03-30,31-10-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus,Berkekuatan Hukum Tetap
2543,Upload :,5,2,2023-03-30,24-11-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2544,Upload :,4,3,2023-03-30,08-09-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2545,Upload :,9,3,2023-03-30,31-08-2022,Pengadilan  MAHKAMAH AGUNG  Perdata Agama  Waris Islam,Berkekuatan Hukum Tetap
2546,Upload :,3,1,2023-03-30,23-02-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus,Berkekuatan Hukum Tetap
2547,Upload :,29,11,2023-03-30,01-12-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Korupsi  Kerugian Keuangan Negara,Berkekuatan Hukum Tetap
2548,Upload :,5,2,2023-03-30,26-01-2023,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2549,Upload :,14,4,2023-03-30,03-11-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Militer,Berkekuatan Hukum Tetap
2550,Upload :,4,2,2023-03-30,15-12-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2551,Upload :,5,3,2023-03-30,13-12-2022,Pengadilan  MAHKAMAH AGUNG,Berkekuatan Hukum Tetap
2552,Upload :,4,2,2023-03-30,18-08-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2553,Upload :,8,4,2023-03-30,13-12-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2554,Putus :,7,3,2023-03-30,26-01-2023,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2555,Putus :,5,3,2023-03-30,01-12-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2556,Putus :,11,8,2023-03-30,22-02-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2557,Putus :,4,2,2023-03-30,13-12-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2558,Putus :,30,16,2023-03-30,01-03-2023,Pengadilan  MAHKAMAH AGUNG  Perdata,Berkekuatan Hukum Tetap
2559,Putus :,3,3,2023-03-30,29-09-2022,Pengadilan  MAHKAMAH AGUNG,Berkekuatan Hukum Tetap
2560,Putusan MAHKAMAH AGUNG Nomor 5577 B/PK/PJK/2022,5,3,2023-03-30,16-12-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2561,Upload :,9,7,2023-03-30,20-09-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2562,Putus :,18,0,2023-03-30,15-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2563,Putus :,18,2,2023-03-30,08-12-2022,Pengadilan  MAHKAMAH AGUNG  Perdata  Perbuatan Melawan Hukum,Berkekuatan Hukum Tetap
2564,Putus :,4,2,2023-03-30,16-01-2023,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2565,Putus :,4,2,2023-03-30,22-02-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2566,Putus :,16,3,2023-03-30,26-10-2022,Pengadilan  MAHKAMAH AGUNG  Perdata  Perbuatan Melawan Hukum,Berkekuatan Hukum Tetap
