id,kode_provinsi,nama_provinsi,kesatuan_pengelolaan_hutan,jenis_kayu,produksi_kayu_bulat,satuan,tahun
178,32,JAWA BARAT,PURWAKARTA,PINUS,93.22,M3,2017
179,32,JAWA BARAT,PURWAKARTA,MAHONI,305.44,M3,2017
180,32,JAWA BARAT,PURWAKARTA,SENGON,0.0,M3,2017
181,32,JAWA BARAT,PURWAKARTA,AGATHIS,0.0,M3,2017
182,32,JAWA BARAT,PURWAKARTA,SONOKELING,0.0,M3,2017
183,32,JAWA BARAT,PURWAKARTA,RASAMALA,0.0,M3,2017
184,32,JAWA BARAT,PURWAKARTA,PUSPA,0.0,M3,2017
185,32,JAWA BARAT,PURWAKARTA,MAESOPSIS,16.91,M3,2017
186,32,JAWA BARAT,PURWAKARTA,ACACIA MANGIUM,294.45,M3,2017
187,32,JAWA BARAT,PURWAKARTA,RIMBA CAMPURAN,252.64,M3,2017
188,32,JAWA BARAT,BANDUNG UTARA,JATI,18.244,M3,2017
189,32,JAWA BARAT,BANDUNG UTARA,PINUS,1516.79,M3,2017
190,32,JAWA BARAT,BANDUNG UTARA,MAHONI,0.0,M3,2017
191,32,JAWA BARAT,BANDUNG UTARA,SENGON,0.0,M3,2017
192,32,JAWA BARAT,BANDUNG UTARA,AGATHIS,0.0,M3,2017
193,32,JAWA BARAT,BANDUNG UTARA,SONOKELING,0.0,M3,2017
194,32,JAWA BARAT,BANDUNG UTARA,RASAMALA,0.0,M3,2017
195,32,JAWA BARAT,BANDUNG UTARA,PUSPA,0.0,M3,2017
196,32,JAWA BARAT,BANDUNG UTARA,MAESOPSIS,0.0,M3,2017
197,32,JAWA BARAT,BANDUNG UTARA,ACACIA MANGIUM,0.0,M3,2017
198,32,JAWA BARAT,BANDUNG UTARA,RIMBA CAMPURAN,0.0,M3,2017
199,32,JAWA BARAT,BANDUNG SELATAN,JATI,388.497,M3,2017
200,32,JAWA BARAT,BANDUNG SELATAN,PINUS,144.46,M3,2017
201,32,JAWA BARAT,BANDUNG SELATAN,MAHONI,0.0,M3,2017
202,32,JAWA BARAT,BANDUNG SELATAN,SENGON,0.0,M3,2017
203,32,JAWA BARAT,BANDUNG SELATAN,AGATHIS,0.0,M3,2017
204,32,JAWA BARAT,BANDUNG SELATAN,SONOKELING,0.0,M3,2017
205,32,JAWA BARAT,BANDUNG SELATAN,RASAMALA,0.0,M3,2017
206,32,JAWA BARAT,BANDUNG SELATAN,PUSPA,0.0,M3,2017
207,32,JAWA BARAT,BANDUNG SELATAN,MAESOPSIS,0.0,M3,2017
208,32,JAWA BARAT,BANDUNG SELATAN,ACACIA MANGIUM,0.0,M3,2017
209,32,JAWA BARAT,BANDUNG SELATAN,RIMBA CAMPURAN,21.22,M3,2017
210,32,JAWA BARAT,GARUT,JATI,59.414,M3,2017
211,32,JAWA BARAT,GARUT,PINUS,0.0,M3,2017
212,32,JAWA BARAT,GARUT,MAHONI,48.93,M3,2017
213,32,JAWA BARAT,GARUT,SENGON,0.0,M3,2017
