,total_of_tweets,no_of_followers,no_of_followees,age_of_account,no_of_favorite,aver_favou_per_day,aver_tweets_per_day,user_name_len,is_post_at_hol,is_post_at_noon,is_post_at_eve,is_post_at_weekend,contain_location,contain_org,contain_tvshow,sentiment_level,contain video,contain picture,contain_upper,contain_number,contain_excl,con_user_mentioned,contain_url,contain_hashtag,opt_length,len_of_text,status_retweet
35,1434,3,53,1160,0,0.0,1.0,11,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,271,0
36,4635,864,1083,1149,0,0.0,1.0,9,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,60,0
37,3065,265,412,4056,0,0.0,1.0,6,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,58,0
38,99,0,4,211,0,0.0,1.0,8,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,70,0
39,21707,81,366,3345,0,0.0,1.0,12,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,224,0
40,572,15,12,4218,0,0.0,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,91,0
41,851101,993477,90,5243,1,0.34285714285714286,1.0,10,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,90,1
42,384214,101135,58,4818,0,0.0,1.0,11,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,133,0
43,2814,55,63,1567,0,0.0,1.0,15,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,62,0
44,851101,993477,90,5243,0,0.34285714285714286,1.0,10,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,163,0
45,851101,993477,90,5243,0,0.34285714285714286,1.0,10,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,72,0
46,851101,993477,90,5243,0,0.34285714285714286,1.0,10,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,79,0
47,3965,36,60,2575,0,0.0,1.0,6,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,30,0
48,744,32,242,2287,0,0.3333333333333333,1.0,7,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,75,0
49,57831,1915,388,3452,0,0.0,1.0,12,0,1,0,0,1,0,0,2,0,0,1,1,0,0,1,0,0,109,0
50,618,515,887,306,0,0.0,1.0,8,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,183,0
51,141,0,2,249,0,0.0,1.0,10,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,58,0
52,9,3,139,453,0,0.0,1.0,13,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,249,0
53,38248,23731,24174,3903,0,0.0,1.0,12,0,0,0,0,0,1,0,2,0,0,1,1,0,1,0,0,0,59,0
54,851101,993477,90,5243,0,0.34285714285714286,1.0,10,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,80,0
55,851101,993477,90,5243,0,0.34285714285714286,1.0,10,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,80,0
56,21969,1677,1492,2507,4,4.0,1.0,7,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,64,0
57,192193,105095,33,4897,0,0.05263157894736842,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,148,0
58,4224,151,82,4802,0,0.0,1.0,8,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,150,0
59,928,48,252,4696,1,1.0,1.0,8,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,82,0
60,214,38,43,437,133,133.0,1.0,7,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,119,1
61,253,1,251,100,0,0.0,1.0,12,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,133,0
62,80765,3616,924,1894,5,5.0,1.0,8,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,39,0
63,3684,89,262,1548,0,0.0,1.0,12,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,290,0
64,758,24,422,2023,0,0.0,1.0,12,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,89,0
65,11729,56,734,2890,1,1.0,1.0,11,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,82,0
66,1069402,402842,181,4586,2,2.0,1.0,9,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,224,0
67,132714,5405,4050,1923,1,1.0,1.0,10,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,261,0
68,15799,56,69,3866,0,0.0,1.0,14,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,219,0
69,2122,19,36,4120,0,0.0,1.0,10,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,122,0
70,22208,68,129,160,0,0.0,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,162,0
71,7803,107,119,224,0,0.0,1.0,13,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,127,0
72,7803,107,119,224,0,0.0,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,121,0
73,15567,58,150,122,0,0.0,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,218,0
74,12332,63,494,3760,0,0.0,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,218,0
75,11087,59,81,2130,0,0.0,1.0,12,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,219,0
76,22930,1486,1780,3058,0,0.0,1.0,7,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,281,0
77,13065,71,279,103,0,0.0,1.0,14,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,218,0
78,1585,2074,112,231,2,1.375,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,300,0
79,11221,81,13,1039,0,0.3,1.0,12,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,133,0
80,11221,81,13,1039,0,0.3,1.0,12,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,133,0
81,900,1,64,112,0,0.0,1.0,13,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,219,1
82,900,1,64,112,0,0.0,1.0,13,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,219,1
83,900,1,64,112,0,0.0,1.0,13,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,204,1
84,900,1,64,112,0,0.0,1.0,13,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,216,1
85,900,1,64,112,0,0.0,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,226,1
86,1390,30,209,1974,0,0.0,1.0,11,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,238,0
87,857,415,33,3102,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,204,1
88,857,415,33,3102,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,219,1
89,857,415,33,3102,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,216,1
90,857,415,33,3102,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,219,1
91,181,71,121,229,1,1.375,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,226,1
92,182,19,26,235,2,1.75,1.0,13,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,216,1
93,186,15,34,235,2,1.375,1.0,14,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,204,1
94,186,13,15,235,2,1.375,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,219,1
95,186,35,81,297,2,1.375,1.0,8,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,219,1
96,41900,452,897,5199,3,3.0,1.0,13,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,45,0
97,384214,101135,58,4818,0,0.0,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,137,0
98,11221,81,13,1039,0,0.3,1.0,12,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,126,0
99,16747,61,98,4006,0,0.0,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,220,0
100,1922,111,40,5082,0,0.0,1.0,10,0,0,0,0,1,1,0,2,0,0,1,1,0,1,0,0,0,216,0
101,2596,5,99,101,0,0.0,1.0,13,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,242,1
102,1585,2074,112,231,4,1.375,1.0,11,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,242,1
103,191,0,5,214,0,0.1111111111111111,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,211,0
104,178,1,6,189,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,211,0
105,193,0,6,224,0,0.07142857142857142,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,218,0
106,194,0,8,225,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,208,0
107,182,0,4,185,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,196,0
108,136,0,0,188,0,0.0,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,211,0
109,193,0,5,217,0,0.0,1.0,14,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,211,0
110,3181,41,172,3302,3,1.1428571428571428,1.0,10,0,0,0,0,1,1,0,2,0,0,1,1,0,1,0,0,0,177,0
111,1864,0,6,304,0,0.0,1.0,11,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,171,0
112,352,1,38,717,1,1.0,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,190,0
113,191,0,5,214,0,0.1111111111111111,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,196,0
114,178,1,6,189,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,211,0
115,177,0,2,188,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,211,0
116,194,0,0,226,0,0.0,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,218,0
117,195,1,5,225,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,208,0
118,193,0,6,224,0,0.07142857142857142,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,196,0
119,194,0,8,225,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,211,0
120,182,0,4,185,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,211,0
121,122,11,18,3670,0,0.0,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,137,0
122,122,11,18,3670,0,0.0,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,128,0
123,851101,993477,90,5243,0,0.34285714285714286,1.0,10,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,69,0
124,3181,41,172,3302,0,1.1428571428571428,1.0,10,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,153,0
125,22885,667,735,2986,0,0.0,1.0,9,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,242,0
126,93,0,19,80,1,0.6666666666666666,1.0,11,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,61,0
127,384214,101135,58,4818,0,0.0,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,141,0
128,949,48,128,4081,0,0.0,1.0,9,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,87,0
129,980572,404766,294,4300,0,0.0,1.0,8,0,1,0,0,1,0,0,2,0,0,1,1,1,0,1,0,1,91,1
130,6053,67,14,181,0,0.0,1.0,13,0,1,0,0,1,0,0,2,0,0,1,1,1,0,1,0,1,91,1
131,34438,15870,8285,4151,0,0.0,1.0,14,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,252,0
132,851101,993477,90,5243,0,0.34285714285714286,1.0,10,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,64,0
133,4195,12,27,3424,0,0.0,1.0,12,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,181,0
134,285,24,30,371,0,0.0,1.0,10,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,255,0
135,285,24,30,371,0,0.0,1.0,10,0,0,0,0,0,1,0,2,0,0,1,1,0,1,0,0,0,210,0
136,1730,246,615,1284,0,0.0,1.0,14,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,102,0
137,192193,105095,33,4897,0,0.05263157894736842,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,143,0
138,12696,300,1434,1656,0,0.0,1.0,10,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,155,0
139,633,1,0,328,0,0.0,1.0,14,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,88,0
140,63794,423,838,4517,0,0.0,1.0,9,0,0,0,0,1,1,0,2,0,0,1,1,0,0,0,0,0,62,0
141,7316,226,879,1072,0,0.0,1.0,10,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,43,0
142,15262,273,574,3423,0,0.0,1.0,13,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,1,74,0
143,857,415,33,3102,0,0.0,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,199,1
144,857,415,33,3102,0,0.0,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,229,1
145,857,415,33,3102,0,0.0,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,237,1
146,857,415,33,3102,0,0.0,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,217,1
147,857,415,33,3102,0,0.0,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,230,1
148,182,19,26,235,1,1.75,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,237,1
149,181,71,121,229,1,1.375,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,230,1
150,186,15,34,235,1,1.375,1.0,14,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,217,1
151,186,13,15,235,1,1.375,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,229,1
152,186,35,81,297,1,1.375,1.0,8,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,199,1
153,7803,107,119,224,0,0.0,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,141,0
154,7803,107,119,224,0,0.0,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,152,0
155,35876,561,499,3186,0,0.0,1.0,6,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,440,0
156,281,17,169,3143,1,0.5,1.0,12,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,28,0
157,232,1,14,79,0,0.0,1.0,10,0,0,0,0,1,1,0,2,0,0,1,1,1,0,1,1,0,111,0
158,232,1,14,79,0,0.0,1.0,10,0,0,0,0,1,1,0,2,0,0,1,1,1,0,1,1,0,111,0
159,2015,3,84,632,0,0.0,1.0,9,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,41,0
160,1569,2004,2311,407,0,1.0,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,297,1
161,1569,2004,2311,407,2,1.0,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,297,1
162,1244,29,294,216,0,0.0,1.0,9,0,0,0,0,1,1,0,2,0,0,1,1,0,1,0,0,0,212,0
163,561,2,71,1201,0,0.0,1.0,14,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,57,0
164,2119,355,627,2715,0,0.0,1.0,9,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,77,0
165,233,13,37,379,0,0.0,1.0,12,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,94,0
166,2975,543,538,817,1,1.0,1.0,12,0,0,0,0,1,1,0,2,0,0,1,1,1,0,1,1,0,111,0
167,13785,19,70,2855,0,0.0,1.5,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,191,0
168,13785,19,70,2855,0,0.0,1.5,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,138,0
169,191,0,5,214,0,0.1111111111111111,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,239,0
170,178,1,6,189,0,0.0,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,209,0
171,5840,49,160,2815,0,0.0,1.0,10,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,128,0
172,193,0,6,224,0,0.07142857142857142,1.0,15,0,0,0,0,0,1,0,2,0,0,1,1,0,0,1,1,0,247,0
173,194,0,8,225,0,0.0,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,240,0
174,182,0,4,185,0,0.0,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,228,0
175,136,0,0,188,0,0.0,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,239,0
176,193,0,5,217,0,0.0,1.0,14,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,209,0
177,524,7,65,703,0,0.0,1.0,9,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,316,0
178,13301,12,69,2855,0,0.0,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,191,0
179,13301,12,69,2855,0,0.0,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,139,0
180,136,2,51,3471,0,0.14285714285714285,1.0,13,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,129,0
181,13116,11,49,2857,0,0.0,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,191,0
182,13116,11,49,2857,0,0.0,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,138,0
183,744,32,242,2287,1,0.3333333333333333,1.0,7,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,68,0
184,194,0,0,226,0,0.0,1.0,15,0,0,0,0,0,1,0,2,0,0,1,1,0,0,1,1,0,241,0
185,195,1,5,225,0,0.0,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,234,0
186,193,0,6,224,0,0.07142857142857142,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,222,0
187,194,0,8,225,0,0.0,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,233,0
188,182,0,4,185,0,0.0,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,203,0
189,74459,28319,30526,3680,2,2.0,1.0,7,0,0,0,0,1,0,0,2,0,0,1,1,0,1,1,0,0,142,0
190,93394,2356,376,3289,0,0.0,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,274,0
191,2225,53,408,2517,1,0.5,1.0,7,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,61,0
192,851101,993477,90,5243,0,0.34285714285714286,1.0,10,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,100,0
193,851101,993477,90,5243,0,0.34285714285714286,1.0,10,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,64,0
194,93,0,19,80,0,0.6666666666666666,1.0,11,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,85,0
195,28465,279,1171,2614,0,0.0,1.0,7,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,145,1
196,20309,649,802,4868,0,0.0,1.0,10,0,1,0,0,0,1,0,2,0,0,1,1,0,1,1,1,0,275,2
197,383,47,405,818,0,0.0,1.0,9,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,234,0
198,383,47,405,818,0,0.0,1.0,9,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,145,1
199,355836,288998,372,4608,0,0.0,1.0,11,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,54,0
200,1653,3,243,352,0,0.0,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,180,0
201,25461,5710,494,4407,1,1.0,1.0,13,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,104,0
202,35518,3910,242,5451,0,0.0,1.0,10,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,30,0
203,192193,105095,33,4897,1,0.05263157894736842,1.0,15,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,130,0
204,2913,140,1573,351,0,0.0,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,163,0
205,192193,105095,33,4897,0,0.05263157894736842,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,148,0
206,192193,105095,33,4897,0,0.05263157894736842,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,134,0
207,9282,30,135,1277,0,0.0,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,277,1
208,172,4,23,168,0,0.0,1.0,12,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,277,1
209,22930,1486,1780,3058,0,0.0,1.0,7,0,0,0,0,0,1,0,2,0,0,1,1,0,1,1,0,0,262,0
210,7766,5030,384,1578,0,0.0,1.0,12,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,189,0
211,17665,737,985,4944,0,0.0,1.0,10,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,197,1
212,32532,319162,369,4969,9,4.25,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,197,1
213,5539,160,364,4504,0,0.0,1.0,14,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,98,0
214,23343,67,151,168,0,0.0,1.0,9,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,150,0
215,15340,5,42,2782,0,0.0,1.0,13,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,104,0
216,15340,5,42,2782,0,0.0,1.0,13,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,96,0
217,835479,1742238,81,5075,1,0.5,1.0,14,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,191,0
218,112383,2788,751,4252,0,0.0,1.0,14,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,23,0
