,title,date,description,link
51,Kepala LAN: Birokrasi Harus Tinggalkan Cara Kerja Lama untuk Tingkatkan Efektivitas,"Selasa, 21 September 2021 - 21:17 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2021/09/21/21175871/kepala-lan-birokrasi-harus-tinggalkan-cara-kerja-lama-untuk-tingkatkan
52,"Dukung Kompetensi ASN, LAN Minta 24 Lembaga Pelatihan Terakreditasi Buat Terobosan","Kamis, 16 September 2021 - 12:37 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2021/09/16/12373301/dukung-kompetensi-asn-lan-minta-24-lembaga-pelatihan-terakreditasi-buat
53,"LAN Raih Predikat WTP Berturut-turut Sejak 2007, Sri Mulyani: Patut Diapresiasi","Selasa, 14 September 2021 - 17:11 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2021/09/14/17111001/lan-raih-predikat-wtp-berturut-turut-sejak-2007-sri-mulyani-patut
54,LAN Dorong Pemda Percepat Sinkronisasi Perda dan UU Cipta Kerja,"Sabtu, 21 Agustus 2021 - 09:24 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2021/08/21/09240071/lan-dorong-pemda-percepat-sinkronisasi-perda-dan-uu-cipta-kerja
55,"Peringati HUT Ke-64, LAN Berikan Berbagai Penghargaan untuk Pemangku Kepentingan","Sabtu, 7 Agustus 2021 - 10:16 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2021/08/07/10160091/peringati-hut-ke-64-lan-berikan-berbagai-penghargaan-untuk-pemangku
56,"Buka Acara PKN, Kepala LAN Minta Pemimpin Mengikuti Perubahan Zaman","Jumat, 23 Juli 2021 - 09:13 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2021/07/23/09132141/buka-acara-pkn-kepala-lan-minta-pemimpin-mengikuti-perubahan-zaman
57,"WFH 100 Persen, LAN Gunakan Aplikasi Intranet untuk Pantau Pegawai","Senin, 12 Juli 2021 - 21:14 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2021/07/12/21141211/wfh-100-persen-lan-gunakan-aplikasi-intranet-untuk-pantau-pegawai
58,"LAN Raih Predikat Badan Publik Informatif, Wapres Ma’ruf: Saya Harap Prestasi Ini Dipertahankan","Rabu, 25 November 2020 - 18:02 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2020/11/25/18025841/lan-raih-predikat-badan-publik-informatif-wapres-maruf-saya-harap-prestasi
59,"Tingkatkan Daya Saing Indonesia di Kancah Global, Pemerintah Fokus Perbaiki Pelayanan Publik","Selasa, 13 Oktober 2020 - 15:03 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2020/10/13/15033031/tingkatkan-daya-saing-indonesia-di-kancah-global-pemerintah-fokus-perbaiki
60,LAN Berharap Kementerian dan Lembaga Update Data Analis Kebijakan melalui eNIAKN,"Selasa, 25 Oktober 2022 - 09:51 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/10/25/09515811/lan-berharap-kementerian-dan-lembaga-update-data-analis-kebijakan-melalui
61,"Kembali Gelar Virtual Public Lecturer Seri IX, LAN Terus Dorong Peran Analis Kebijakan dalam Pencapaian Tujuan SDGs","Kamis, 20 Oktober 2022 - 16:58 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/10/20/16584251/kembali-gelar-virtual-public-lecturer-seri-ix-lan-terus-dorong-peran-analis
62,"Miliki Laporan Keuangan Transparan dan Akuntabel, LAN Raih WTP 15 Kali Berturut-turut","Jumat, 23 September 2022 - 09:55 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/09/23/09551061/miliki-laporan-keuangan-transparan-dan-akuntabel-lan-raih-wtp-15-kali
63,"Menjadi Pusat Studi Kebijakan EROPA sejak 2018, Ini Peran LAN","Sabtu, 17 September 2022 - 12:34 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/09/17/12344281/menjadi-pusat-studi-kebijakan-eropa-sejak-2018-ini-peran-lan
64,Seminar Policy Brief Rumuskan Super-App sebagai Media Integrasi Manajemen Talenta ASN ,"Sabtu, 17 September 2022 - 11:44 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/09/17/11443491/seminar-policy-brief-rumuskan-super-app-sebagai-media-integrasi-manajemen
65,"Tingkatkan Kualitas ASN, LAN Gelar Advokasi Corporate University hingga Sosialisasi Kebijakan Orientasi PPPK","Kamis, 15 September 2022 - 14:30 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/09/15/14302391/tingkatkan-kualitas-asn-lan-gelar-advokasi-corporate-university-hingga
66,"Peringati Hari Jadi Ke-65, LAN Berikan Apresiasi “LAN Award” Kepada Stakeholder","Selasa, 9 Agustus 2022 - 19:56 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/08/09/19563271/peringati-hari-jadi-ke-65-lan-berikan-apresiasi-lan-award-kepada-stakeholder
67,"Kembangkan Model Pelatihan Kepemimpinan Milenial, LAN Gandeng GNIK Luncurkan ""ASN Talent Academy""","Jumat, 5 Agustus 2022 - 10:05 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/08/05/10053241/kembangkan-model-pelatihan-kepemimpinan-milenial-lan-gandeng-gnik-luncurkan
68,"Kualitas ASN Terus Meningkat, tetapi Masih di Bawah Parameter Global","Rabu, 27 Juli 2022 - 10:52 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/07/27/10525971/kualitas-asn-terus-meningkat-tetapi-masih-di-bawah-parameter-global
69,Kepala LAN Sebut Butuh Kolaborasi dan Sinergi untuk Atasi Permasalahan Latsar CPNS Papua,"Rabu, 22 Juni 2022 - 12:07 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/06/22/12074491/kepala-lan-sebut-butuh-kolaborasi-dan-sinergi-untuk-atasi-permasalahan
70,"BIN Lakukan Swab Test ke Pegawai LAN, Begini Tanggapan Ketua LAN","Senin, 28 September 2020 - 16:54 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2020/09/28/16543811/bin-lakukan-swab-test-ke-pegawai-lan-begini-tanggapan-ketua-lan
