,total_of_tweets,no_of_followers,no_of_followees,age_of_account,no_of_favorite,aver_favou_per_day,aver_tweets_per_day,user_name_len,is_post_at_hol,is_post_at_noon,is_post_at_eve,is_post_at_weekend,contain_location,contain_org,contain_tvshow,sentiment_level,contain video,contain picture,contain_upper,contain_number,contain_excl,con_user_mentioned,contain_url,contain_hashtag,opt_length,len_of_text,status_retweet
153,7803,107,119,218,0,0.0,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,141,0
154,7803,107,119,218,0,0.0,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,152,0
155,35876,561,499,3180,0,0.0,1.0,6,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,440,0
156,281,17,169,3137,1,0.5,1.0,12,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,28,0
157,232,1,14,73,0,0.0,1.0,10,0,0,0,0,1,1,0,2,0,0,1,1,1,0,1,1,0,111,0
158,232,1,14,73,0,0.0,1.0,10,0,0,0,0,1,1,0,2,0,0,1,1,1,0,1,1,0,111,0
159,2015,3,84,626,0,0.0,1.0,9,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,41,0
160,1569,2004,2311,401,0,1.0,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,297,1
161,1569,2004,2311,401,2,1.0,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,297,1
162,1244,29,294,210,0,0.0,1.0,9,0,0,0,0,1,1,0,2,0,0,1,1,0,1,0,0,0,212,0
163,561,2,71,1195,0,0.0,1.0,14,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,57,0
164,2119,355,627,2709,0,0.0,1.0,9,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,77,0
165,233,13,37,373,0,0.0,1.0,12,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,94,0
166,2975,543,538,811,1,1.0,1.0,12,0,0,0,0,1,1,0,2,0,0,1,1,1,0,1,1,0,111,0
167,13785,19,70,2849,0,0.0,1.5,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,191,0
168,13785,19,70,2849,0,0.0,1.5,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,138,0
169,191,0,5,208,0,0.1111111111111111,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,239,0
170,178,1,6,183,0,0.0,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,209,0
171,5840,49,160,2809,0,0.0,1.0,10,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,128,0
172,193,0,6,218,0,0.07142857142857142,1.0,15,0,0,0,0,0,1,0,2,0,0,1,1,0,0,1,1,0,247,0
173,194,0,8,219,0,0.0,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,240,0
174,182,0,4,179,0,0.0,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,228,0
175,136,0,0,182,0,0.0,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,239,0
176,193,0,5,211,0,0.0,1.0,14,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,209,0
177,524,7,65,697,0,0.0,1.0,9,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,316,0
178,13301,12,69,2849,0,0.0,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,191,0
179,13301,12,69,2849,0,0.0,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,139,0
180,136,2,51,3465,0,0.14285714285714285,1.0,13,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,129,0
181,13116,11,49,2851,0,0.0,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,191,0
