Date,Price,Open,High,Low,Vol.,Change %
2018-11-26,1217.0,1217.0,1217.0,1217.0,,11.34
2018-11-27,1339.0,1339.0,1339.0,1339.0,,10.02
2018-11-28,1330.0,1330.0,1330.0,1330.0,,0.67
2018-11-29,1281.0,1281.0,1281.0,1281.0,,3.68
2018-11-30,1231.0,1231.0,1231.0,1231.0,,3.9
2018-12-01,1279.6,1279.6,1279.6,1279.6,,5.922
2018-12-02,1279.6,1279.6,1279.6,1279.6,,5.922
2018-12-03,1203.0,1203.0,1203.0,1203.0,,2.27
2018-12-04,1237.0,1237.0,1237.0,1237.0,,2.83
2018-12-05,1296.0,1296.0,1296.0,1296.0,,4.77
2018-12-06,1339.0,1339.0,1339.0,1339.0,,3.32
2018-12-07,1372.0,1372.0,1372.0,1372.0,,2.46
2018-12-08,1289.4,1289.4,1289.4,1289.4,,3.13
2018-12-09,1289.4,1289.4,1289.4,1289.4,,3.13
2018-12-10,1385.0,1385.0,1385.0,1385.0,,0.95
2018-12-11,1364.0,1364.0,1364.0,1364.0,,1.52
2018-12-12,1353.0,1353.0,1353.0,1353.0,,0.81
2018-12-13,1365.0,1365.0,1365.0,1365.0,,0.89
2018-12-14,1401.0,1401.0,1401.0,1401.0,,2.64
2018-12-15,1373.6,1373.6,1373.6,1373.6,,1.3619999999999999
2018-12-16,1373.6,1373.6,1373.6,1373.6,,1.3619999999999999
2018-12-17,1406.0,1406.0,1406.0,1406.0,,0.36
2018-12-18,1395.0,1395.0,1395.0,1395.0,,0.78
2018-12-19,1378.0,1378.0,1378.0,1378.0,,1.22
2018-12-20,1318.0,1318.0,1318.0,1318.0,,4.35
2018-12-21,1279.0,1279.0,1279.0,1279.0,,2.96
2018-12-22,1355.2,1355.2,1355.2,1355.2,,1.934
2018-12-23,1355.2,1355.2,1355.2,1355.2,,1.934
2018-12-24,1271.0,1271.0,1271.0,1271.0,,0.63
2018-12-25,1311.5,1311.5,1311.5,1311.5,,2.29
2018-12-26,1289.3333333333333,1289.3333333333333,1289.3333333333333,1289.3333333333333,,2.646666666666667
2018-12-27,1275.0,1275.0,1275.0,1275.0,,1.7950000000000008
2018-12-28,1271.0,1271.0,1271.0,1271.0,,0.63
2018-12-29,1271.0,1271.0,1271.0,1271.0,,0.63
2018-12-30,1271.0,1271.0,1271.0,1271.0,,0.63
2018-12-31,,,,,,
2019-01-01,,,,,,
2019-01-02,1282.0,1282.0,1282.0,1282.0,,0.87
2019-01-03,1267.0,1267.0,1267.0,1267.0,,1.17
2019-01-04,1260.0,1260.0,1260.0,1260.0,,0.55
2019-01-05,1269.6666666666667,1269.6666666666667,1269.6666666666667,1269.6666666666667,,0.8633333333333336
2019-01-06,1269.6666666666667,1269.6666666666667,1269.6666666666667,1269.6666666666667,,0.8633333333333336
2019-01-07,1247.0,1247.0,1247.0,1247.0,,1.03
2019-01-08,1262.0,1262.0,1262.0,1262.0,,1.2
2019-01-09,1238.0,1238.0,1238.0,1238.0,,1.9
2019-01-10,1189.0,1189.0,1189.0,1189.0,,3.96
2019-01-11,1169.0,1169.0,1169.0,1169.0,,1.68
2019-01-12,1221.0,1221.0,1221.0,1221.0,,1.954
2019-01-13,1221.0,1221.0,1221.0,1221.0,,1.954
2019-01-14,1147.0,1147.0,1147.0,1147.0,,1.88
2019-01-15,1096.0,1096.0,1096.0,1096.0,,4.45
2019-01-16,1055.0,1055.0,1055.0,1055.0,,3.74
2019-01-17,1077.0,1077.0,1077.0,1077.0,,2.09
2019-01-18,1112.0,1112.0,1112.0,1112.0,,3.25
2019-01-19,1097.4,1097.4,1097.4,1097.4,,3.082
2019-01-20,1097.4,1097.4,1097.4,1097.4,,3.082
2019-01-21,1092.0,1092.0,1092.0,1092.0,,1.8
2019-01-22,1036.0,1036.0,1036.0,1036.0,,5.13
2019-01-23,982.0,982.0,982.0,982.0,,5.21
2019-01-24,939.0,939.0,939.0,939.0,,4.38
2019-01-25,905.0,905.0,905.0,905.0,,3.62
2019-01-26,990.8,990.8,990.8,990.8,,4.0280000000000005
2019-01-27,990.8,990.8,990.8,990.8,,4.0280000000000005
2019-01-28,852.0,852.0,852.0,852.0,,5.86
2019-01-29,797.0,797.0,797.0,797.0,,6.46
2019-01-30,721.0,721.0,721.0,721.0,,9.54
2019-01-31,668.0,668.0,668.0,668.0,,7.35
2019-02-01,645.0,645.0,645.0,645.0,,3.44
2019-02-02,736.6,736.6,736.6,736.6,,6.530000000000001
2019-02-03,736.6,736.6,736.6,736.6,,6.530000000000001
2019-02-04,634.0,634.0,634.0,634.0,,1.71
2019-02-05,629.0,629.0,629.0,629.0,,0.79
2019-02-06,629.0,629.0,629.0,629.0,,0.0
2019-02-07,610.0,610.0,610.0,610.0,,3.02
2019-02-08,601.0,601.0,601.0,601.0,,1.48
2019-02-09,620.6,620.6,620.6,620.6,,1.4000000000000004
2019-02-10,620.6,620.6,620.6,620.6,,1.4000000000000004
2019-02-11,595.0,595.0,595.0,595.0,,1.0
2019-02-12,598.0,598.0,598.0,598.0,,0.5
2019-02-13,608.0,608.0,608.0,608.0,,1.67
2019-02-14,628.0,628.0,628.0,628.0,,3.29
2019-02-15,639.0,639.0,639.0,639.0,,1.75
2019-02-16,613.6,613.6,613.6,613.6,,1.6420000000000001
2019-02-17,613.6,613.6,613.6,613.6,,1.6420000000000001
2019-02-18,643.0,643.0,643.0,643.0,,0.63
2019-02-19,635.0,635.0,635.0,635.0,,1.24
2019-02-20,622.0,622.0,622.0,622.0,,2.05
2019-02-21,630.0,630.0,630.0,630.0,,1.29
2019-02-22,634.0,634.0,634.0,634.0,,0.63
2019-02-23,632.8,632.8,632.8,632.8,,1.1680000000000006
2019-02-24,632.8,632.8,632.8,632.8,,1.1680000000000006
2019-02-25,637.0,637.0,637.0,637.0,,0.47
2019-02-26,649.0,649.0,649.0,649.0,,1.88
2019-02-27,651.0,651.0,651.0,651.0,,0.31
2019-02-28,658.0,658.0,658.0,658.0,,1.08
2019-03-01,664.0,664.0,664.0,664.0,,0.91
2019-03-02,651.8,651.8,651.8,651.8,,0.9300000000000004
2019-03-03,651.8,651.8,651.8,651.8,,0.9300000000000004
2019-03-04,669.0,669.0,669.0,669.0,,0.75
2019-03-05,663.0,663.0,663.0,663.0,,0.9
2019-03-06,664.0,664.0,664.0,664.0,,0.15
2019-03-07,657.0,657.0,657.0,657.0,,1.05
2019-03-08,649.0,649.0,649.0,649.0,,1.22
2019-03-09,660.4,660.4,660.4,660.4,,0.8140000000000004
2019-03-10,660.4,660.4,660.4,660.4,,0.8140000000000004
2019-03-11,645.0,645.0,645.0,645.0,,0.62
2019-03-12,647.0,647.0,647.0,647.0,,0.31
2019-03-13,654.0,654.0,654.0,654.0,,1.08
2019-03-14,677.0,677.0,677.0,677.0,,3.52
2019-03-15,730.0,730.0,730.0,730.0,,7.83
2019-03-16,670.6,670.6,670.6,670.6,,2.672
2019-03-17,670.6,670.6,670.6,670.6,,2.672
2019-03-18,721.0,721.0,721.0,721.0,,1.23
2019-03-19,712.0,712.0,712.0,712.0,,1.25
2019-03-20,709.0,709.0,709.0,709.0,,0.42
2019-03-21,695.0,695.0,695.0,695.0,,1.97
2019-03-22,690.0,690.0,690.0,690.0,,0.72
2019-03-23,705.4,705.4,705.4,705.4,,1.1180000000000003
2019-03-24,705.4,705.4,705.4,705.4,,1.1180000000000003
2019-03-25,689.0,689.0,689.0,689.0,,0.14
2019-03-26,683.0,683.0,683.0,683.0,,0.87
2019-03-27,690.0,690.0,690.0,690.0,,1.02
2019-03-28,692.0,692.0,692.0,692.0,,0.29
2019-03-29,689.0,689.0,689.0,689.0,,0.43
2019-03-30,688.6,688.6,688.6,688.6,,0.5500000000000004
2019-03-31,688.6,688.6,688.6,688.6,,0.5500000000000004
2019-04-01,685.0,685.0,685.0,685.0,,0.58
2019-04-02,674.0,674.0,674.0,674.0,,1.61
2019-04-03,672.0,672.0,672.0,672.0,,0.3
2019-04-04,699.0,699.0,699.0,699.0,,4.02
2019-04-05,711.0,711.0,711.0,711.0,,1.72
2019-04-06,688.2,688.2,688.2,688.2,,1.6460000000000004
2019-04-07,688.2,688.2,688.2,688.2,,1.6460000000000004
2019-04-08,714.0,714.0,714.0,714.0,,0.42
2019-04-09,725.0,725.0,725.0,725.0,,1.54
2019-04-10,734.0,734.0,734.0,734.0,,1.24
2019-04-11,728.0,728.0,728.0,728.0,,0.82
2019-04-12,726.0,726.0,726.0,726.0,,0.27
2019-04-13,725.4,725.4,725.4,725.4,,0.8580000000000003
2019-04-14,725.4,725.4,725.4,725.4,,0.8580000000000003
2019-04-15,738.0,738.0,738.0,738.0,,1.65
2019-04-16,749.0,749.0,749.0,749.0,,1.49
2019-04-17,767.0,767.0,767.0,767.0,,2.4
2019-04-18,790.0,790.0,790.0,790.0,,3.0
2019-04-19,761.0,761.0,761.0,761.0,,2.1350000000000007
2019-04-20,761.0,761.0,761.0,761.0,,2.1350000000000007
2019-04-21,761.0,761.0,761.0,761.0,,2.1350000000000007
2019-04-22,768.6666666666666,768.6666666666666,768.6666666666666,768.6666666666666,,2.2966666666666673
2019-04-23,821.0,821.0,821.0,821.0,,3.92
2019-04-24,850.0,850.0,850.0,850.0,,3.53
2019-04-25,869.0,869.0,869.0,869.0,,2.24
2019-04-26,889.0,889.0,889.0,889.0,,2.3
2019-04-27,857.25,857.25,857.25,857.25,,2.9975000000000005
2019-04-28,857.25,857.25,857.25,857.25,,2.9975000000000005
2019-04-29,913.0,913.0,913.0,913.0,,2.7
2019-04-30,1011.0,1011.0,1011.0,1011.0,,10.73
2019-05-01,1031.0,1031.0,1031.0,1031.0,,1.98
2019-05-02,1032.0,1032.0,1032.0,1032.0,,0.1
2019-05-03,985.0,985.0,985.0,985.0,,4.55
2019-05-04,994.4,994.4,994.4,994.4,,4.0120000000000005
2019-05-05,994.4,994.4,994.4,994.4,,4.0120000000000005
2019-05-06,1014.75,1014.75,1014.75,1014.75,,4.340000000000001
2019-05-07,936.0,936.0,936.0,936.0,,4.97
2019-05-08,940.0,940.0,940.0,940.0,,0.43
2019-05-09,974.0,974.0,974.0,974.0,,3.62
2019-05-10,1013.0,1013.0,1013.0,1013.0,,4.0
2019-05-11,965.75,965.75,965.75,965.75,,3.255000000000001
2019-05-12,965.75,965.75,965.75,965.75,,3.255000000000001
2019-05-13,1026.0,1026.0,1026.0,1026.0,,1.28
2019-05-14,1043.0,1043.0,1043.0,1043.0,,1.66
2019-05-15,1032.0,1032.0,1032.0,1032.0,,1.05
2019-05-16,1032.0,1032.0,1032.0,1032.0,,0.0
2019-05-17,1040.0,1040.0,1040.0,1040.0,,0.78
2019-05-18,1034.6,1034.6,1034.6,1034.6,,0.9540000000000003
2019-05-19,1034.6,1034.6,1034.6,1034.6,,0.9540000000000003
2019-05-20,1041.0,1041.0,1041.0,1041.0,,0.1
2019-05-21,1049.0,1049.0,1049.0,1049.0,,0.77
2019-05-22,1059.0,1059.0,1059.0,1059.0,,0.95
2019-05-23,1068.0,1068.0,1068.0,1068.0,,0.85
2019-05-24,1066.0,1066.0,1066.0,1066.0,,0.19
2019-05-25,1056.6,1056.6,1056.6,1056.6,,0.5720000000000003
2019-05-26,1056.6,1056.6,1056.6,1056.6,,0.5720000000000003
2019-05-27,1060.5,1060.5,1060.5,1060.5,,0.6900000000000005
2019-05-28,1082.0,1082.0,1082.0,1082.0,,1.5
2019-05-29,1107.0,1107.0,1107.0,1107.0,,2.31
2019-05-30,1097.0,1097.0,1097.0,1097.0,,0.9
2019-05-31,1096.0,1096.0,1096.0,1096.0,,0.09
2019-06-01,1095.5,1095.5,1095.5,1095.5,,1.2000000000000004
2019-06-02,1095.5,1095.5,1095.5,1095.5,,1.2000000000000004
2019-06-03,1103.0,1103.0,1103.0,1103.0,,0.64
2019-06-04,1122.0,1122.0,1122.0,1122.0,,1.72
2019-06-05,1141.0,1141.0,1141.0,1141.0,,1.69
2019-06-06,1138.0,1138.0,1138.0,1138.0,,0.26
2019-06-07,1138.0,1138.0,1138.0,1138.0,,0.0
2019-06-08,1128.4,1128.4,1128.4,1128.4,,0.8620000000000003
2019-06-09,1128.4,1128.4,1128.4,1128.4,,0.8620000000000003
2019-06-10,1125.0,1125.0,1125.0,1125.0,,1.14
2019-06-11,1105.0,1105.0,1105.0,1105.0,,1.78
2019-06-12,1080.0,1080.0,1080.0,1080.0,,2.26
2019-06-13,1062.0,1062.0,1062.0,1062.0,,1.67
2019-06-14,1085.0,1085.0,1085.0,1085.0,,2.17
2019-06-15,1091.4,1091.4,1091.4,1091.4,,1.8040000000000003
2019-06-16,1091.4,1091.4,1091.4,1091.4,,1.8040000000000003
2019-06-17,1093.0,1093.0,1093.0,1093.0,,0.74
2019-06-18,1135.0,1135.0,1135.0,1135.0,,3.84
2019-06-19,1179.0,1179.0,1179.0,1179.0,,3.88
2019-06-20,1194.0,1194.0,1194.0,1194.0,,1.27
2019-06-21,1239.0,1239.0,1239.0,1239.0,,3.77
2019-06-22,1168.0,1168.0,1168.0,1168.0,,2.7
2019-06-23,1168.0,1168.0,1168.0,1168.0,,2.7
2019-06-24,1258.0,1258.0,1258.0,1258.0,,1.53
2019-06-25,1280.0,1280.0,1280.0,1280.0,,1.75
2019-06-26,1317.0,1317.0,1317.0,1317.0,,2.89
2019-06-27,1340.0,1340.0,1340.0,1340.0,,1.75
2019-06-28,1354.0,1354.0,1354.0,1354.0,,1.04
2019-06-29,1309.8,1309.8,1309.8,1309.8,,1.7920000000000003
2019-06-30,1309.8,1309.8,1309.8,1309.8,,1.7920000000000003
2019-07-01,1381.0,1381.0,1381.0,1381.0,,1.99
2019-07-02,1446.0,1446.0,1446.0,1446.0,,4.71
2019-07-03,1549.0,1549.0,1549.0,1549.0,,7.12
2019-07-04,1700.0,1700.0,1700.0,1700.0,,9.75
2019-07-05,1740.0,1740.0,1740.0,1740.0,,2.35
2019-07-06,1563.2,1563.2,1563.2,1563.2,,5.184
2019-07-07,1563.2,1563.2,1563.2,1563.2,,5.184
2019-07-08,1725.0,1725.0,1725.0,1725.0,,0.86
2019-07-09,1759.0,1759.0,1759.0,1759.0,,1.97
2019-07-10,1777.0,1777.0,1777.0,1777.0,,1.02
2019-07-11,1816.0,1816.0,1816.0,1816.0,,2.19
2019-07-12,1865.0,1865.0,1865.0,1865.0,,2.7
2019-07-13,1788.4,1788.4,1788.4,1788.4,,1.7480000000000004
2019-07-14,1788.4,1788.4,1788.4,1788.4,,1.7480000000000004
2019-07-15,1928.0,1928.0,1928.0,1928.0,,3.38
2019-07-16,2011.0,2011.0,2011.0,2011.0,,4.3
2019-07-17,2064.0,2064.0,2064.0,2064.0,,2.64
2019-07-18,2130.0,2130.0,2130.0,2130.0,,3.2
2019-07-19,2170.0,2170.0,2170.0,2170.0,,1.88
2019-07-20,2060.6,2060.6,2060.6,2060.6,,3.0800000000000005
