"From,To,Africa,,""North America"",,""South America"",,""Asia (ex China)"",,""Western & Central Europe"",,""Russia & Eastern Europe"",,Oceania,,""Gulf Cooperation Council"",,""China (Estimated)"",,""Estimated Unreported to IAI"",,Total,,""Daily Average"","
"1973-01-01,1973-02-01,20,,419,,19,,120,,220,,,,27,,,,,,165,,990,,31.9,"
"1973-02-01,1973-03-01,18,,391,,17,,110,,204,,,,24,,,,,,165,,929,,33.2,"
"1973-03-01,1973-04-01,18,,434,,17,,123,,230,,,,26,,,,,,165,,1013,,32.7,"
"1973-04-01,1973-05-01,18,,415,,19,,119,,223,,,,27,,,,,,165,,986,,32.9,"
"1973-05-01,1973-06-01,20,,428,,19,,123,,235,,,,28,,,,,,165,,1018,,32.8,"
"1973-06-01,1973-07-01,21,,416,,19,,119,,228,,,,27,,,,,,165,,995,,33.2,"
"1973-07-01,1973-08-01,23,,425,,19,,124,,229,,,,28,,,,,,165,,1013,,32.7,"
"1973-08-01,1973-09-01,23,,411,,19,,117,,232,,,,29,,,,,,165,,996,,32.1,"
"1973-09-01,1973-10-01,22,,407,,19,,114,,226,,,,27,,,,,,165,,980,,32.7,"
"1973-10-01,1973-11-01,22,,428,,20,,125,,241,,,,27,,,,,,165,,1028,,33.2,"
"1973-11-01,1973-12-01,22,,422,,21,,123,,238,,,,26,,,,,,165,,1017,,33.9,"
"1973-12-01,1974-01-01,22,,443,,21,,122,,251,,,,28,,,,,,165,,1052,,33.9,"
"1974-01-01,1974-02-01,22,,450,,21,,118,,258,,,,27,,,,,,211,,1107,,35.7,"
"1974-02-01,1974-03-01,19,,419,,19,,107,,235,,,,24,,,,,,211,,1034,,36.9,"
"1974-03-01,1974-04-01,21,,469,,22,,119,,262,,,,28,,,,,,211,,1132,,36.5,"
"1974-04-01,1974-05-01,21,,457,,21,,116,,256,,,,27,,,,,,211,,1109,,37.0,"
"1974-05-01,1974-06-01,23,,470,,22,,122,,267,,,,28,,,,,,211,,1143,,36.9,"
"1974-06-01,1974-07-01,23,,452,,21,,121,,260,,,,28,,,,,,211,,1116,,37.2,"
"1974-07-01,1974-08-01,25,,460,,22,,127,,271,,,,28,,,,,,211,,1144,,36.9,"
"1974-08-01,1974-09-01,25,,452,,21,,129,,269,,,,29,,,,,,211,,1136,,36.6,"
"1974-09-01,1974-10-01,24,,443,,20,,125,,264,,,,28,,,,,,211,,1115,,37.2,"
"1974-10-01,1974-11-01,25,,463,,23,,129,,268,,,,28,,,,,,211,,1147,,37.0,"
"1974-11-01,1974-12-01,25,,455,,22,,124,,265,,,,26,,,,,,211,,1128,,37.6,"
"1974-12-01,1975-01-01,25,,464,,22,,126,,275,,,,29,,,,,,211,,1152,,37.2,"
"1975-01-01,1975-02-01,24,,445,,23,,121,,276,,,,28,,,,,,217,,1134,,36.6,"
"1975-02-01,1975-03-01,22,,366,,21,,108,,245,,,,25,,,,,,217,,1004,,35.9,"
"1975-03-01,1975-04-01,24,,394,,23,,114,,268,,,,28,,,,,,217,,1068,,34.5,"
"1975-04-01,1975-05-01,23,,370,,22,,113,,259,,,,26,,,,,,217,,1030,,34.3,"
"1975-05-01,1975-06-01,23,,368,,24,,115,,264,,,,27,,,,,,217,,1038,,33.5,"
"1975-06-01,1975-07-01,21,,343,,23,,112,,252,,,,27,,,,,,217,,995,,33.2,"
"1975-07-01,1975-08-01,22,,353,,23,,118,,257,,,,27,,,,,,217,,1017,,32.8,"
"1975-08-01,1975-09-01,22,,352,,23,,119,,249,,,,27,,,,,,217,,1009,,32.5,"
"1975-09-01,1975-10-01,22,,342,,22,,113,,242,,,,27,,,,,,217,,985,,32.8,"
"1975-10-01,1975-11-01,22,,354,,24,,120,,251,,,,27,,,,,,217,,1015,,32.7,"
"1975-11-01,1975-12-01,22,,351,,23,,118,,244,,,,26,,,,,,217,,1001,,33.4,"
"1975-12-01,1976-01-01,25,,362,,24,,119,,255,,,,28,,,,,,217,,1030,,33.2,"
"1976-01-01,1976-02-01,27,,364,,23,,118,,253,,,,28,,,,,,217,,1030,,33.2,"
"1976-02-01,1976-03-01,26,,342,,23,,104,,239,,,,27,,,,,,217,,978,,33.7,"
"1976-03-01,1976-04-01,30,,368,,25,,111,,260,,,,30,,,,,,217,,1041,,33.6,"
"1976-04-01,1976-05-01,28,,366,,25,,111,,253,,,,30,,,,,,217,,1030,,34.3,"
"1976-05-01,1976-06-01,26,,392,,25,,113,,264,,,,31,,,,,,217,,1068,,34.5,"
"1976-06-01,1976-07-01,27,,348,,26,,109,,260,,,,30,,,,,,217,,1017,,33.9,"
"1976-07-01,1976-08-01,28,,367,,26,,116,,269,,,,33,,,,,,217,,1056,,34.1,"
"1976-08-01,1976-09-01,29,,375,,28,,113,,267,,,,33,,,,,,217,,1062,,34.3,"
"1976-09-01,1976-10-01,28,,369,,28,,110,,262,,,,32,,,,,,217,,1046,,34.9,"
"1976-10-01,1976-11-01,30,,391,,29,,116,,272,,,,33,,,,,,217,,1088,,35.1,"
"1976-11-01,1976-12-01,29,,385,,29,,117,,267,,,,32,,,,,,217,,1076,,35.9,"
"1976-12-01,1977-01-01,29,,418,,29,,127,,284,,,,33,,,,,,217,,1137,,36.7,"
"1977-01-01,1977-02-01,29,,430,,30,,131,,286,,,,32,,,,,,223,,1161,,37.5,"
"1977-02-01,1977-03-01,26,,384,,26,,123,,254,,,,29,,,,,,223,,1065,,38.0,"
"1977-03-01,1977-04-01,30,,425,,27,,138,,279,,,,33,,,,,,223,,1155,,37.3,"
"1977-04-01,1977-05-01,30,,417,,29,,136,,272,,,,31,,,,,,223,,1138,,37.9,"
"1977-05-01,1977-06-01,33,,431,,30,,137,,278,,,,32,,,,,,223,,1164,,37.5,"
"1977-06-01,1977-07-01,33,,418,,30,,135,,266,,,,32,,,,,,223,,1137,,37.9,"
"1977-07-01,1977-08-01,27,,431,,31,,138,,275,,,,34,,,,,,223,,1159,,37.4,"
"1977-08-01,1977-09-01,27,,427,,31,,137,,275,,,,35,,,,,,223,,1155,,37.3,"
"1977-09-01,1977-10-01,31,,417,,31,,133,,271,,,,33,,,,,,223,,1139,,38.0,"
"1977-10-01,1977-11-01,33,,437,,31,,137,,281,,,,35,,,,,,223,,1177,,38.0,"
"1977-11-01,1977-12-01,34,,430,,31,,132,,273,,,,33,,,,,,223,,1156,,38.5,"
"1977-12-01,1978-01-01,34,,446,,31,,137,,282,,,,34,,,,,,223,,1187,,38.3,"
"1978-01-01,1978-02-01,34,,450,,32,,135,,282,,,,35,,,,,,227,,1195,,38.5,"
"1978-02-01,1978-03-01,30,,412,,29,,122,,254,,,,31,,,,,,227,,1105,,39.5,"
"1978-03-01,1978-04-01,32,,447,,32,,132,,284,,,,35,,,,,,227,,1189,,38.4,"
"1978-04-01,1978-05-01,30,,438,,31,,124,,278,,,,34,,,,,,227,,1162,,38.7,"
"1978-05-01,1978-06-01,20,,458,,32,,127,,285,,,,35,,,,,,227,,1184,,38.2,"
"1978-06-01,1978-07-01,22,,445,,31,,124,,278,,,,34,,,,,,227,,1161,,38.7,"
"1978-07-01,1978-08-01,23,,460,,34,,128,,285,,,,35,,,,,,227,,1192,,38.5,"
"1978-08-01,1978-09-01,26,,463,,34,,127,,282,,,,35,,,,,,227,,1194,,38.5,"
"1978-09-01,1978-10-01,26,,449,,35,,124,,272,,,,34,,,,,,227,,1167,,38.9,"
"1978-10-01,1978-11-01,29,,466,,39,,125,,282,,,,36,,,,,,227,,1204,,38.8,"
"1978-11-01,1978-12-01,31,,451,,40,,119,,275,,,,35,,,,,,227,,1178,,39.3,"
"1978-12-01,1979-01-01,33,,470,,44,,124,,288,,,,35,,,,,,227,,1221,,39.4,"
"1979-01-01,1979-02-01,32,,470,,45,,124,,288,,,,36,,,,,,230,,1225,,39.5,"
"1979-02-01,1979-03-01,30,,426,,42,,112,,260,,,,32,,,,,,230,,1132,,40.4,"
"1979-03-01,1979-04-01,32,,471,,50,,122,,288,,,,36,,,,,,230,,1229,,39.6,"
"1979-04-01,1979-05-01,31,,454,,50,,116,,282,,,,34,,,,,,230,,1197,,39.9,"
"1979-05-01,1979-06-01,33,,475,,56,,121,,287,,,,35,,,,,,230,,1237,,39.9,"
"1979-06-01,1979-07-01,32,,418,,55,,118,,281,,,,35,,,,,,230,,1169,,39.0,"
"1979-07-01,1979-08-01,33,,432,,58,,124,,289,,,,35,,,,,,230,,1201,,38.7,"
"1979-08-01,1979-09-01,34,,434,,60,,126,,289,,,,36,,,,,,230,,1209,,39.0,"
"1979-09-01,1979-10-01,35,,423,,61,,124,,282,,,,36,,,,,,230,,1191,,39.7,"
"1979-10-01,1979-11-01,36,,467,,64,,125,,294,,,,37,,,,,,230,,1253,,40.4,"
"1979-11-01,1979-12-01,36,,466,,62,,121,,285,,,,36,,,,,,230,,1236,,41.2,"
"1979-12-01,1980-01-01,37,,485,,65,,127,,300,,,,37,,,,,,230,,1281,,41.3,"
"1980-01-01,1980-02-01,36,,482,,66,,128,,301,,,,37,,,,,,232,,1282,,41.4,"
"1980-02-01,1980-03-01,32,,454,,64,,122,,287,,,,35,,,,,,232,,1226,,42.3,"
"1980-03-01,1980-04-01,35,,485,,65,,131,,302,,,,38,,,,,,232,,1288,,41.5,"
"1980-04-01,1980-05-01,34,,470,,65,,127,,297,,,,37,,,,,,232,,1262,,42.1,"
"1980-05-01,1980-06-01,35,,488,,68,,131,,307,,,,38,,,,,,232,,1299,,41.9,"
"1980-06-01,1980-07-01,35,,473,,68,,124,,294,,,,37,,,,,,232,,1263,,42.1,"
"1980-07-01,1980-08-01,36,,476,,70,,133,,306,,,,38,,,,,,232,,1291,,41.6,"
"1980-08-01,1980-09-01,38,,477,,70,,136,,304,,,,38,,,,,,232,,1295,,41.8,"
"1980-09-01,1980-10-01,38,,468,,70,,134,,292,,,,37,,,,,,232,,1271,,42.4,"
"1980-10-01,1980-11-01,39,,488,,72,,138,,306,,,,40,,,,,,232,,1315,,42.4,"
"1980-11-01,1980-12-01,39,,476,,71,,131,,295,,,,41,,,,,,232,,1285,,42.8,"
"1980-12-01,1981-01-01,40,,489,,72,,132,,304,,,,44,,,,,,232,,1313,,42.4,"
"1981-01-01,1981-02-01,39,,497,,72,,130,,303,,,,43,,,,,,235,,1319,,42.5,"
"1981-02-01,1981-03-01,35,,451,,67,,112,,278,,,,41,,,,,,235,,1219,,43.5,"
"1981-03-01,1981-04-01,38,,498,,70,,118,,301,,,,46,,,,,,235,,1306,,42.1,"
"1981-04-01,1981-05-01,37,,482,,71,,113,,296,,,,43,,,,,,235,,1277,,42.6,"
"1981-05-01,1981-06-01,40,,494,,65,,116,,306,,,,45,,,,,,235,,1301,,42.0,"
"1981-06-01,1981-07-01,40,,473,,63,,111,,294,,,,45,,,,,,235,,1261,,42.0,"
"1981-07-01,1981-08-01,43,,483,,63,,111,,304,,,,46,,,,,,235,,1285,,41.5,"
"1981-08-01,1981-09-01,43,,474,,64,,111,,302,,,,46,,,,,,235,,1275,,41.1,"
"1981-09-01,1981-10-01,41,,450,,64,,107,,290,,,,45,,,,,,235,,1232,,41.1,"
"1981-10-01,1981-11-01,44,,455,,64,,106,,300,,,,45,,,,,,235,,1249,,40.3,"
"1981-11-01,1981-12-01,41,,423,,64,,98,,285,,,,45,,,,,,235,,1191,,39.7,"
"1981-12-01,1982-01-01,42,,423,,66,,97,,292,,,,46,,,,,,235,,1201,,38.7,"
"1982-01-01,1982-02-01,42,,412,,67,,93,,288,,,,46,,,,,,254,,1202,,38.8,"
"1982-02-01,1982-03-01,38,,367,,63,,82,,262,,,,41,,,,,,254,,1107,,39.5,"
"1982-03-01,1982-04-01,42,,395,,65,,90,,293,,,,45,,,,,,254,,1184,,38.2,"
"1982-04-01,1982-05-01,41,,377,,63,,84,,284,,,,43,,,,,,254,,1146,,38.2,"
"1982-05-01,1982-06-01,44,,382,,64,,86,,288,,,,45,,,,,,254,,1163,,37.5,"
"1982-06-01,1982-07-01,42,,360,,63,,79,,278,,,,46,,,,,,254,,1122,,37.4,"
"1982-07-01,1982-08-01,44,,359,,67,,83,,279,,,,45,,,,,,254,,1131,,36.5,"
"1982-08-01,1982-09-01,44,,351,,68,,82,,273,,,,46,,,,,,254,,1118,,36.1,"
"1982-09-01,1982-10-01,43,,332,,67,,80,,262,,,,46,,,,,,254,,1084,,36.1,"
"1982-10-01,1982-11-01,44,,337,,69,,82,,268,,,,48,,,,,,254,,1102,,35.5,"
"1982-11-01,1982-12-01,38,,330,,69,,80,,260,,,,47,,,,,,254,,1078,,35.9,"
"1982-12-01,1983-01-01,39,,341,,70,,82,,271,,,,50,,,,,,254,,1107,,35.7,"
"1983-01-01,1983-02-01,40,,344,,73,,80,,270,,,,51,,,,,,261,,1119,,36.1,"
"1983-02-01,1983-03-01,34,,305,,66,,70,,244,,,,47,,,,,,261,,1027,,36.7,"
"1983-03-01,1983-04-01,38,,338,,75,,78,,273,,,,53,,,,,,261,,1116,,36.0,"
"1983-04-01,1983-05-01,37,,333,,76,,77,,269,,,,52,,,,,,261,,1105,,36.8,"
"1983-05-01,1983-06-01,37,,355,,79,,80,,279,,,,55,,,,,,261,,1146,,37.0,"
"1983-06-01,1983-07-01,35,,348,,79,,77,,274,,,,56,,,,,,261,,1130,,37.7,"
"1983-07-01,1983-08-01,34,,375,,82,,83,,285,,,,59,,,,,,261,,1179,,38.0,"
"1983-08-01,1983-09-01,35,,389,,83,,87,,283,,,,61,,,,,,261,,1199,,38.7,"
"1983-09-01,1983-10-01,36,,390,,80,,85,,279,,,,61,,,,,,261,,1192,,39.7,"
"1983-10-01,1983-11-01,38,,418,,83,,89,,291,,,,65,,,,,,261,,1245,,40.2,"
"1983-11-01,1983-12-01,36,,413,,83,,88,,282,,,,67,,,,,,261,,1230,,41.0,"
"1983-12-01,1984-01-01,36,,440,,83,,93,,293,,,,73,,,,,,261,,1279,,41.3,"
"1984-01-01,1984-02-01,36,,446,,83,,93,,295,,,,76,,,,,,277,,1306,,42.1,"
"1984-02-01,1984-03-01,32,,422,,81,,87,,277,,,,74,,,,,,277,,1250,,43.1,"
"1984-03-01,1984-04-01,33,,454,,86,,97,,302,,,,79,,,,,,277,,1328,,42.8,"
"1984-04-01,1984-05-01,33,,448,,83,,93,,292,,,,77,,,,,,277,,1303,,43.4,"
"1984-05-01,1984-06-01,35,,469,,85,,98,,303,,,,81,,,,,,277,,1348,,43.5,"
"1984-06-01,1984-07-01,35,,452,,84,,95,,293,,,,82,,,,,,277,,1318,,43.9,"
"1984-07-01,1984-08-01,36,,455,,87,,105,,299,,,,86,,,,,,277,,1345,,43.4,"
"1984-08-01,1984-09-01,35,,448,,89,,107,,295,,,,87,,,,,,277,,1338,,43.2,"
"1984-09-01,1984-10-01,35,,430,,87,,101,,285,,,,86,,,,,,277,,1301,,43.4,"
"1984-10-01,1984-11-01,34,,443,,88,,103,,292,,,,90,,,,,,277,,1327,,42.8,"
"1984-11-01,1984-12-01,34,,424,,90,,101,,281,,,,88,,,,,,277,,1295,,43.2,"
"1984-12-01,1985-01-01,35,,436,,92,,102,,288,,,,92,,,,,,277,,1322,,42.6,"
"1985-01-01,1985-02-01,36,,429,,96,,101,,285,,,,91,,,,,,291,,1329,,42.9,"
"1985-02-01,1985-03-01,33,,382,,88,,91,,258,,,,83,,,,,,291,,1226,,43.8,"
"1985-03-01,1985-04-01,35,,418,,95,,100,,284,,,,92,,,,,,291,,1315,,42.4,"
"1985-04-01,1985-05-01,36,,400,,94,,92,,276,,,,89,,,,,,291,,1278,,42.6,"
"1985-05-01,1985-06-01,40,,413,,96,,99,,283,,,,91,,,,,,291,,1313,,42.4,"
"1985-06-01,1985-07-01,40,,396,,95,,94,,274,,,,89,,,,,,291,,1279,,42.6,"
"1985-07-01,1985-08-01,42,,402,,97,,99,,281,,,,93,,,,,,291,,1305,,42.1,"
"1985-08-01,1985-09-01,42,,400,,99,,98,,277,,,,94,,,,,,291,,1301,,42.0,"
"1985-09-01,1985-10-01,41,,388,,96,,95,,272,,,,90,,,,,,291,,1273,,42.4,"
"1985-10-01,1985-11-01,42,,397,,101,,99,,281,,,,94,,,,,,291,,1305,,42.1,"
"1985-11-01,1985-12-01,42,,373,,100,,96,,273,,,,91,,,,,,291,,1266,,42.2,"
"1985-12-01,1986-01-01,43,,383,,103,,99,,283,,,,94,,,,,,291,,1296,,41.8,"
"1986-01-01,1986-02-01,45,,386,,104,,97,,282,,,,94,,,,,,303,,1311,,42.3,"
"1986-02-01,1986-03-01,41,,353,,98,,88,,256,,,,84,,,,,,303,,1223,,43.7,"
"1986-03-01,1986-04-01,45,,384,,106,,96,,286,,,,93,,,,,,303,,1313,,42.4,"
"1986-04-01,1986-05-01,44,,374,,111,,88,,276,,,,91,,,,,,303,,1287,,42.9,"
"1986-05-01,1986-06-01,46,,393,,118,,89,,287,,,,94,,,,,,303,,1330,,42.9,"
"1986-06-01,1986-07-01,44,,354,,118,,87,,281,,,,92,,,,,,303,,1279,,42.6,"
"1986-07-01,1986-08-01,48,,349,,121,,88,,290,,,,95,,,,,,303,,1294,,41.7,"
"1986-08-01,1986-09-01,49,,355,,124,,89,,289,,,,95,,,,,,303,,1304,,42.1,"
"1986-09-01,1986-10-01,47,,349,,121,,87,,282,,,,92,,,,,,303,,1281,,42.7,"
"1986-10-01,1986-11-01,49,,366,,125,,90,,292,,,,96,,,,,,303,,1321,,42.6,"
"1986-11-01,1986-12-01,48,,360,,123,,87,,283,,,,93,,,,,,303,,1297,,43.2,"
"1986-12-01,1987-01-01,50,,379,,128,,88,,295,,,,100,,,,,,303,,1343,,43.3,"
"1987-01-01,1987-02-01,50,,389,,121,,88,,293,,,,101,,,,,,324,,1366,,44.1,"
"1987-02-01,1987-03-01,45,,354,,118,,79,,268,,,,91,,,,,,324,,1279,,45.7,"
"1987-03-01,1987-04-01,49,,399,,120,,84,,293,,,,105,,,,,,324,,1374,,44.3,"
"1987-04-01,1987-05-01,47,,391,,122,,77,,285,,,,102,,,,,,324,,1348,,44.9,"
"1987-05-01,1987-06-01,45,,408,,125,,80,,293,,,,108,,,,,,324,,1383,,44.6,"
"1987-06-01,1987-07-01,44,,400,,123,,78,,288,,,,106,,,,,,324,,1363,,45.4,"
"1987-07-01,1987-08-01,47,,415,,125,,76,,292,,,,111,,,,,,324,,1390,,44.8,"
"1987-08-01,1987-09-01,49,,421,,127,,70,,293,,,,111,,,,,,324,,1395,,45.0,"
"1987-09-01,1987-10-01,48,,413,,124,,70,,283,,,,108,,,,,,324,,1370,,45.7,"
"1987-10-01,1987-11-01,50,,435,,128,,74,,295,,,,111,,,,,,324,,1417,,45.7,"
"1987-11-01,1987-12-01,48,,423,,125,,73,,291,,,,108,,,,,,324,,1392,,46.4,"
"1987-12-01,1988-01-01,50,,441,,128,,78,,288,,,,111,,,,,,324,,1420,,45.8,"
"1988-01-01,1988-02-01,50,,444,,125,,79,,284,,,,112,,,,,,423,,1517,,48.9,"
"1988-02-01,1988-03-01,47,,421,,123,,75,,263,,,,104,,,,,,423,,1456,,50.2,"
"1988-03-01,1988-04-01,49,,456,,126,,82,,283,,,,113,,,,,,423,,1532,,49.4,"
"1988-04-01,1988-05-01,47,,447,,125,,79,,283,,,,111,,,,,,423,,1515,,50.5,"
"1988-05-01,1988-06-01,48,,465,,129,,82,,296,,,,116,,,,,,423,,1559,,50.3,"
"1988-06-01,1988-07-01,49,,450,,128,,78,,290,,,,114,,,,,,423,,1532,,51.1,"
"1988-07-01,1988-08-01,51,,465,,131,,81,,302,,,,121,,,,,,423,,1574,,50.8,"
"1988-08-01,1988-09-01,52,,464,,132,,83,,300,,,,122,,,,,,423,,1576,,50.8,"
"1988-09-01,1988-10-01,50,,454,,130,,82,,290,,,,120,,,,,,423,,1549,,51.6,"
"1988-10-01,1988-11-01,52,,473,,133,,86,,303,,,,126,,,,,,423,,1596,,51.5,"
"1988-11-01,1988-12-01,50,,460,,134,,85,,291,,,,122,,,,,,423,,1565,,52.2,"
"1988-12-01,1989-01-01,52,,476,,137,,89,,303,,,,126,,,,,,423,,1606,,51.8,"
"1989-01-01,1989-02-01,51,,478,,138,,90,,307,,,,125,,,,,,423,,1612,,52.0,"
"1989-02-01,1989-03-01,47,,431,,131,,82,,276,,,,116,,,,,,423,,1506,,53.8,"
"1989-03-01,1989-04-01,52,,478,,138,,92,,304,,,,127,,,,,,423,,1614,,52.1,"
"1989-04-01,1989-05-01,50,,462,,139,,89,,297,,,,124,,,,,,423,,1584,,52.8,"
"1989-05-01,1989-06-01,51,,480,,142,,91,,304,,,,129,,,,,,423,,1620,,52.3,"
"1989-06-01,1989-07-01,49,,464,,142,,88,,294,,,,124,,,,,,423,,1584,,52.8,"
"1989-07-01,1989-08-01,51,,478,,145,,90,,304,,,,129,,,,,,423,,1620,,52.3,"
"1989-08-01,1989-09-01,51,,471,,146,,93,,303,,,,127,,,,,,423,,1614,,52.1,"
"1989-09-01,1989-10-01,50,,453,,142,,90,,293,,,,123,,,,,,423,,1574,,52.5,"
"1989-10-01,1989-11-01,51,,461,,145,,96,,304,,,,127,,,,,,423,,1607,,51.8,"
"1989-11-01,1989-12-01,49,,456,,143,,94,,292,,,,123,,,,,,423,,1580,,52.7,"
"1989-12-01,1990-01-01,51,,475,,147,,98,,302,,,,127,,,,,,423,,1623,,52.4,"
"1990-01-01,1990-02-01,51,,476,,145,,95,,301,,,,127,,,,,,444,,1639,,52.9,"
"1990-02-01,1990-03-01,46,,431,,135,,88,,274,,,,115,,,,,,444,,1533,,54.8,"
"1990-03-01,1990-04-01,51,,477,,142,,96,,305,,,,127,,,,,,444,,1642,,53.0,"
"1990-04-01,1990-05-01,48,,459,,144,,86,,292,,,,123,,,,,,444,,1596,,53.2,"
"1990-05-01,1990-06-01,51,,474,,146,,89,,302,,,,127,,,,,,444,,1633,,52.7,"
"1990-06-01,1990-07-01,49,,459,,143,,91,,295,,,,123,,,,,,444,,1604,,53.5,"
"1990-07-01,1990-08-01,51,,472,,147,,94,,301,,,,127,,,,,,444,,1636,,52.8,"
"1990-08-01,1990-09-01,51,,475,,152,,95,,301,,,,128,,,,,,444,,1646,,53.1,"
"1990-09-01,1990-10-01,50,,463,,149,,93,,294,,,,124,,,,,,444,,1617,,53.9,"
"1990-10-01,1990-11-01,52,,481,,157,,98,,301,,,,128,,,,,,444,,1661,,53.6,"
"1990-11-01,1990-12-01,50,,464,,160,,97,,292,,,,123,,,,,,444,,1630,,54.3,"
"1990-12-01,1991-01-01,52,,486,,170,,96,,303,,,,126,,,,,,444,,1677,,54.1,"
"1991-01-01,1991-02-01,52,,491,,169,,101,,299,,,,126,,,,,,406,,1644,,53.0,"
"1991-02-01,1991-03-01,47,,450,,162,,94,,270,,,,114,,,,,,406,,1543,,55.1,"
"1991-03-01,1991-04-01,52,,505,,156,,105,,300,,,,127,,,,,,406,,1651,,53.3,"
"1991-04-01,1991-05-01,50,,491,,159,,101,,290,,,,123,,,,,,406,,1620,,54.0,"
"1991-05-01,1991-06-01,52,,513,,168,,104,,301,,,,125,,,,,,406,,1669,,53.8,"
"1991-06-01,1991-07-01,51,,496,,168,,101,,291,,,,124,,,,,,406,,1637,,54.6,"
"1991-07-01,1991-08-01,52,,513,,170,,104,,302,,,,127,,,,,,406,,1674,,54.0,"
"1991-08-01,1991-09-01,52,,508,,171,,105,,301,,,,128,,,,,,406,,1671,,53.9,"
"1991-09-01,1991-10-01,50,,489,,168,,100,,292,,,,124,,,,,,406,,1629,,54.3,"
"1991-10-01,1991-11-01,52,,507,,170,,104,,297,,,,127,,,,,,406,,1663,,53.6,"
"1991-11-01,1991-12-01,50,,488,,166,,100,,278,,,,123,,,,,,406,,1611,,53.7,"
"1991-12-01,1992-01-01,52,,496,,169,,104,,284,,,,127,,,,,,406,,1638,,52.8,"
"1992-01-01,1992-02-01,52,,497,,167,,111,,276,,,,127,,,,,,391,,1621,,52.3,"
"1992-02-01,1992-03-01,48,,463,,156,,104,,262,,,,118,,,,,,391,,1542,,53.2,"
"1992-03-01,1992-04-01,52,,497,,155,,111,,276,,,,126,,,,,,391,,1608,,51.9,"
"1992-04-01,1992-05-01,51,,482,,159,,106,,271,,,,123,,,,,,391,,1583,,52.8,"
"1992-05-01,1992-06-01,52,,499,,163,,109,,284,,,,126,,,,,,391,,1624,,52.4,"
"1992-06-01,1992-07-01,50,,483,,161,,106,,273,,,,123,,,,,,391,,1587,,52.9,"
